ID,Income_us,Gender,Age,Employment,Education,F1_importance,F2_importance,F3_importance,F4_importance,F5_importance,F1_functional,F1_dysfunctional,F2_functional,F2_dysfunctional,F3_functional,F3_dysfunctional,F4_dysfunctional,F4_functional,F5_functional,F5_dysfunctional
C3-19,prefer_not_to_answer,male,21,student_full_time,some_high_school_or_less,7 - Very important,8,8,9 - Extremely important,9 - Extremely important,This would be very helpful to me,This would be a minor inconvenience,This would be very helpful to me,This would be a major problem for me,This is a basic requirement for me,This would be a major problem for me,This would be a major problem for me,This is a basic requirement for me,This would be very helpful to me,This would be very helpful to me
C3-20,50000_to_74999,male,21,student_full_time,some_high_school_or_less,4,5 - Important,7 - Very important,4,3 - Somewhat important,This would not affect me,This would not affect me,This is a basic requirement for me,This would be a minor inconvenience,This would not affect me,This is a basic requirement for me,This is a basic requirement for me,This would not affect me,This would be a minor inconvenience,This would not affect me
C3-21,50000_to_74999,female,30,temporarily-unemployed,university_undergraduate_degree,3 - Somewhat important,6,8,9 - Extremely important,8,This would not affect me,This would be a minor inconvenience,This is a basic requirement for me,This would be a minor inconvenience,This would be very helpful to me,This would be a minor inconvenience,This would be a major problem for me,This would be very helpful to me,This is a basic requirement for me,This would be a minor inconvenience
C3-22,35000_to_49999,female,30,homemaker,college_diploma,2,7 - Very important,9 - Extremely important,9 - Extremely important,7 - Very important,This would be a major problem for me,This is a basic requirement for me,This is a basic requirement for me,This would be a minor inconvenience,This would be very helpful to me,This would be a major problem for me,This would be a major problem for me,This would be very helpful to me,This is a basic requirement for me,This would be a minor inconvenience
C3-23,75000_to_99999,female,37,homemaker,high_school_or_equivalent,5 - Important,7 - Very important,7 - Very important,7 - Very important,7 - Very important,This would be very helpful to me,This is a basic requirement for me,This would be very helpful to me,This would not affect me,This would be very helpful to me,This would be a major problem for me,This would be a major problem for me,This would be very helpful to me,This is a basic requirement for me,This would be a major problem for me
C3-24,prefer_not_to_answer,male,19,self_employed,high_school_or_equivalent,4,4,4,7 - Very important,6,This would be a minor inconvenience,This is a basic requirement for me,This is a basic requirement for me,This would be a minor inconvenience,This would be very helpful to me,This would be a major problem for me,This would be a major problem for me,This is a basic requirement for me,This would be very helpful to me,This would be a minor inconvenience
C3-25,75000_to_99999,female,28,employed_full_time,masters_graduate_degree,7 - Very important,7 - Very important,7 - Very important,9 - Extremely important,7 - Very important,This would not affect me,This would be a minor inconvenience,This would be very helpful to me,This would be a major problem for me,This would be very helpful to me,This would be a major problem for me,This would be a major problem for me,This would be very helpful to me,This would be very helpful to me,This would be a major problem for me
C3-26,35000_to_49999,male,29,employed_full_time,college_diploma,3 - Somewhat important,6,7 - Very important,7 - Very important,7 - Very important,This would not affect me,This would not affect me,This is a basic requirement for me,This would be a minor inconvenience,This is a basic requirement for me,This would be a major problem for me,This would be a major problem for me,This would be very helpful to me,This is a basic requirement for me,This would be a minor inconvenience
C3-27,35000_to_49999,female,35,employed_full_time,trade_or_vocational,3 - Somewhat important,7 - Very important,7 - Very important,9 - Extremely important,9 - Extremely important,This would not affect me,This would not affect me,This would be very helpful to me,This would be a major problem for me,This would be very helpful to me,This would be a major problem for me,This would be a major problem for me,This would be very helpful to me,This would not affect me,This would not affect me
C3-28,less_than_15,male,19,student_full_time,some_high_school_or_less,1 - Not at all important,5 - Important,5 - Important,5 - Important,5 - Important,This would be a minor inconvenience,This would not affect me,This would not affect me,This would not affect me,This would not affect me,This would not affect me,This would not affect me,This would be a major problem for me,This would be a major problem for me,This would not affect me
C3-29,35000_to_49999,female,27,employed_part_time,university_undergraduate_degree,7 - Very important,7 - Very important,9 - Extremely important,9 - Extremely important,6,This is a basic requirement for me,This would not affect me,This is a basic requirement for me,This would be a minor inconvenience,This would be very helpful to me,This would be a major problem for me,This would be a major problem for me,This would be very helpful to me,This is a basic requirement for me,This would be a major problem for me
C3-30,50000_to_74999,male,46,employed_part_time,college_diploma,7 - Very important,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,This would be very helpful to me,This would be a minor inconvenience,This would be very helpful to me,This would be a major problem for me,This would be very helpful to me,This would be a major problem for me,This would be a major problem for me,This would be very helpful to me,This would be a minor inconvenience,This would be a minor inconvenience
C3-31,75000_to_99999,male,22,employed_full_time,college_diploma,9 - Extremely important,3 - Somewhat important,4,6,1 - Not at all important,This would not affect me,This would be a minor inconvenience,This is a basic requirement for me,This would not affect me,This would be a major problem for me,This is a basic requirement for me,This would not affect me,This is a basic requirement for me,This would be a minor inconvenience,This would not affect me
C3-32,prefer_not_to_answer,male,23,student_full_time,high_school_or_equivalent,4,6,5 - Important,9 - Extremely important,8,This would not affect me,This is a basic requirement for me,This is a basic requirement for me,This would not affect me,This is a basic requirement for me,This would be a minor inconvenience,This would be a minor inconvenience,This is a basic requirement for me,This is a basic requirement for me,This would be a minor inconvenience
C3-33,75000_to_99999,female,21,employed_full_time,masters_graduate_degree,7 - Very important,5 - Important,8,9 - Extremely important,5 - Important,This is a basic requirement for me,This would not affect me,This would be a minor inconvenience,This would not affect me,This would be a minor inconvenience,This would not affect me,This is a basic requirement for me,This would be a minor inconvenience,This is a basic requirement for me,This would be a minor inconvenience
C3-34,25000_to_34999,male,28,employed_full_time,university_undergraduate_degree,5 - Important,5 - Important,5 - Important,7 - Very important,5 - Important,This would not affect me,This is a basic requirement for me,This would be very helpful to me,This would be a major problem for me,This would be very helpful to me,This would be a major problem for me,This would be a major problem for me,This would be very helpful to me,This would be very helpful to me,This would be a major problem for me
C3-35,prefer_not_to_answer,female,21,temporarily-unemployed,university_undergraduate_degree,7 - Very important,9 - Extremely important,9 - Extremely important,8,7 - Very important,This would not affect me,This would be a minor inconvenience,This would be very helpful to me,This would be a minor inconvenience,This is a basic requirement for me,This would be a minor inconvenience,This would be a major problem for me,This is a basic requirement for me,This would be very helpful to me,This would be a minor inconvenience
C3-36,25000_to_34999,female,35,homemaker,high_school_or_equivalent,5 - Important,7 - Very important,7 - Very important,5 - Important,3 - Somewhat important,This is a basic requirement for me,This would be a minor inconvenience,This would be very helpful to me,This would be a minor inconvenience,This would be very helpful to me,This would be a major problem for me,This would be a major problem for me,This would be very helpful to me,This would be very helpful to me,This would be a minor inconvenience
C3-37,50000_to_74999,female,21,employed_part_time,high_school_or_equivalent,4,6,9 - Extremely important,9 - Extremely important,6,This would not affect me,This would not affect me,This is a basic requirement for me,This would not affect me,This would be very helpful to me,This would be a minor inconvenience,This would be a major problem for me,This would be very helpful to me,This is a basic requirement for me,This would be a minor inconvenience
C3-38,35000_to_49999,male,29,employed_part_time,university_undergraduate_degree,6,6,7 - Very important,9 - Extremely important,9 - Extremely important,This would be very helpful to me,This would be a minor inconvenience,This would be very helpful to me,This would be a major problem for me,This would be very helpful to me,This would be a major problem for me,This would be a major problem for me,This is a basic requirement for me,This is a basic requirement for me,This would be a major problem for me
C3-39,75000_to_99999,male,30,employed_full_time,masters_graduate_degree,9 - Extremely important,7 - Very important,9 - Extremely important,9 - Extremely important,8,This would be very helpful to me,This is a basic requirement for me,This is a basic requirement for me,This would be very helpful to me,This would be very helpful to me,This would not affect me,This would be very helpful to me,This is a basic requirement for me,This would be very helpful to me,This is a basic requirement for me
C3-40,15000_to_24999,female,21,student_full_time,high_school_or_equivalent,3 - Somewhat important,7 - Very important,7 - Very important,9 - Extremely important,9 - Extremely important,This would not affect me,This would be a minor inconvenience,This would be very helpful to me,This would be a minor inconvenience,This would be very helpful to me,This would be a major problem for me,This would be a major problem for me,This is a basic requirement for me,This would be a minor inconvenience,This would not affect me
C3-41,250000_or_more,male,20,employed_part_time,high_school_or_equivalent,3 - Somewhat important,4,3 - Somewhat important,5 - Important,4,This would not affect me,This would not affect me,This would be a major problem for me,This would not affect me,This would be a minor inconvenience,This is a basic requirement for me,This would not affect me,This would not affect me,This would be a minor inconvenience,This would not affect me
C3-42,15000_to_24999,male,29,employed_part_time,university_undergraduate_degree,4,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,This would be very helpful to me,This would not affect me,This is a basic requirement for me,This would be a major problem for me,This is a basic requirement for me,This would be a major problem for me,This would be a major problem for me,This would be very helpful to me,This is a basic requirement for me,This would be a minor inconvenience
C3-43,50000_to_74999,female,40,self_employed,high_school_or_equivalent,1 - Not at all important,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,This would not affect me,This would not affect me,This would be very helpful to me,This would be a major problem for me,This is a basic requirement for me,This would be a major problem for me,This would be a major problem for me,This is a basic requirement for me,This would be very helpful to me,This would be a major problem for me
C3-44,prefer_not_to_answer,male,23,other,high_school_or_equivalent,8,9 - Extremely important,9 - Extremely important,7 - Very important,9 - Extremely important,This is a basic requirement for me,This would be a minor inconvenience,This would be very helpful to me,This would not affect me,This is a basic requirement for me,This would be a minor inconvenience,This would be a major problem for me,This would be very helpful to me,This is a basic requirement for me,This would be a minor inconvenience
C3-45,15000_to_24999,female,25,employed_part_time,high_school_or_equivalent,7 - Very important,9 - Extremely important,8,8,9 - Extremely important,This would not affect me,This would be a minor inconvenience,This would be very helpful to me,This would be a major problem for me,This would be very helpful to me,This would be a major problem for me,This would be a minor inconvenience,This is a basic requirement for me,This would be very helpful to me,This would be a minor inconvenience
C3-46,35000_to_49999,female,40,employed_full_time,university_undergraduate_degree,2,2,3 - Somewhat important,3 - Somewhat important,3 - Somewhat important,This would not affect me,This would be a minor inconvenience,This would not affect me,This would be a minor inconvenience,This would be a minor inconvenience,This would be a minor inconvenience,This would not affect me,This would not affect me,This would not affect me,This would be very helpful to me
C3-47,25000_to_34999,male,31,employed_full_time,university_undergraduate_degree,7 - Very important,9 - Extremely important,8,9 - Extremely important,7 - Very important,This would not affect me,This would not affect me,This is a basic requirement for me,This would be a minor inconvenience,This is a basic requirement for me,This would be a major problem for me,This would be a major problem for me,This is a basic requirement for me,This is a basic requirement for me,This is a basic requirement for me
C3-48,prefer_not_to_answer,male,21,student_full_time,some_high_school_or_less,5 - Important,6,5 - Important,9 - Extremely important,3 - Somewhat important,This would not affect me,This would not affect me,This would be very helpful to me,This would be a minor inconvenience,This would be very helpful to me,This would be a major problem for me,This would be a major problem for me,This would be very helpful to me,This is a basic requirement for me,This would not affect me
C3-49,25000_to_34999,male,43,employed_full_time,college_diploma,5 - Important,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,This would be a major problem for me,This would be very helpful to me,This would be very helpful to me,This would be very helpful to me,This would be very helpful to me,This is a basic requirement for me,This would be a major problem for me,This would be very helpful to me,This would not affect me,This would not affect me
C3-50,50000_to_74999,male,30,employed_full_time,university_undergraduate_degree,7 - Very important,7 - Very important,9 - Extremely important,9 - Extremely important,8,This would be very helpful to me,This would not affect me,This would be very helpful to me,This would be a minor inconvenience,This is a basic requirement for me,This would be a major problem for me,This would be a major problem for me,This is a basic requirement for me,This would not affect me,This would be a minor inconvenience
C3-51,35000_to_49999,female,41,homemaker,high_school_or_equivalent,7 - Very important,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,This would be a minor inconvenience,This is a basic requirement for me,This is a basic requirement for me,This would be a major problem for me,This would be very helpful to me,This would be a major problem for me,This would be a major problem for me,This would be very helpful to me,This would be very helpful to me,This would be a major problem for me
C3-52,50000_to_74999,female,32,student_full_time,high_school_or_equivalent,2,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,This would be a major problem for me,This is a basic requirement for me,This is a basic requirement for me,This would be a major problem for me,This is a basic requirement for me,This would be a major problem for me,This would be a major problem for me,This is a basic requirement for me,This would be very helpful to me,This would be a major problem for me
C3-53,35000_to_49999,female,40,temporarily-unemployed,university_undergraduate_degree,7 - Very important,7 - Very important,7 - Very important,7 - Very important,9 - Extremely important,This is a basic requirement for me,This would be a minor inconvenience,This would not affect me,This would be a minor inconvenience,This is a basic requirement for me,This would be a minor inconvenience,This would not affect me,This is a basic requirement for me,This is a basic requirement for me,This is a basic requirement for me
C3-54,25000_to_34999,female,42,homemaker,high_school_or_equivalent,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,This would be very helpful to me,This would be a minor inconvenience,This would be very helpful to me,This would be a minor inconvenience,This is a basic requirement for me,This would be a major problem for me,This would be a major problem for me,This is a basic requirement for me,This is a basic requirement for me,This would be a minor inconvenience
C3-55,75000_to_99999,female,39,employed_full_time,high_school_or_equivalent,5 - Important,8,9 - Extremely important,9 - Extremely important,8,This would not affect me,This would not affect me,This is a basic requirement for me,This would be a minor inconvenience,This would be very helpful to me,This would be a major problem for me,This would be a major problem for me,This would be very helpful to me,This is a basic requirement for me,This would be a minor inconvenience
C3-56,15000_to_24999,female,19,student_full_time,high_school_or_equivalent,2,9 - Extremely important,9 - Extremely important,9 - Extremely important,7 - Very important,This would not affect me,This is a basic requirement for me,This would be very helpful to me,This would be a major problem for me,This is a basic requirement for me,This would be a major problem for me,This would be a major problem for me,This would be very helpful to me,This is a basic requirement for me,This would be a minor inconvenience
C3-57,25000_to_34999,male,26,employed_part_time,high_school_or_equivalent,5 - Important,7 - Very important,7 - Very important,8,7 - Very important,This would not affect me,This is a basic requirement for me,This would be very helpful to me,This would be a minor inconvenience,This would be very helpful to me,This would be a major problem for me,This would be a major problem for me,This would be very helpful to me,This is a basic requirement for me,This would be a minor inconvenience
C3-58,prefer_not_to_answer,female,29,temporarily-unemployed,high_school_or_equivalent,5 - Important,5 - Important,7 - Very important,7 - Very important,5 - Important,This would be very helpful to me,This would be very helpful to me,This would be very helpful to me,This is a basic requirement for me,This would be very helpful to me,This would be very helpful to me,This would be very helpful to me,This is a basic requirement for me,This is a basic requirement for me,This is a basic requirement for me
C3-59,25000_to_34999,female,29,employed_full_time,college_diploma,5 - Important,7 - Very important,7 - Very important,9 - Extremely important,5 - Important,This would not affect me,This would not affect me,This would be a major problem for me,This is a basic requirement for me,This is a basic requirement for me,This would not affect me,This is a basic requirement for me,This would be a minor inconvenience,This would be very helpful to me,This would be a minor inconvenience
C3-60,35000_to_49999,male,48,employed_full_time,masters_graduate_degree,7 - Very important,8,7 - Very important,7 - Very important,7 - Very important,This is a basic requirement for me,This would not affect me,This is a basic requirement for me,This would be a minor inconvenience,This is a basic requirement for me,This would be a minor inconvenience,This is a basic requirement for me,This would be very helpful to me,This is a basic requirement for me,This would be a minor inconvenience
C3-61,less_than_15,female,31,employed_part_time,high_school_or_equivalent,7 - Very important,7 - Very important,7 - Very important,7 - Very important,7 - Very important,This would be very helpful to me,This would not affect me,This would be very helpful to me,This would be a major problem for me,This would be very helpful to me,This would be a major problem for me,This would be a major problem for me,This would be very helpful to me,This would be very helpful to me,This would be a major problem for me
C3-62,150000_to_249999,male,21,employed_full_time,doctorate,3 - Somewhat important,6,7 - Very important,6,6,This would be a major problem for me,This is a basic requirement for me,This would be a minor inconvenience,This would not affect me,This is a basic requirement for me,This would be very helpful to me,This would be a minor inconvenience,This would not affect me,This would be a minor inconvenience,This would be very helpful to me
C3-63,prefer_not_to_answer,male,41,other,masters_graduate_degree,5 - Important,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,This would not affect me,This would not affect me,This is a basic requirement for me,This would be a minor inconvenience,This is a basic requirement for me,This would be a major problem for me,This would be a major problem for me,This would be very helpful to me,This is a basic requirement for me,This would be a minor inconvenience
C3-64,75000_to_99999,female,20,student_full_time,high_school_or_equivalent,3 - Somewhat important,4,4,6,3 - Somewhat important,This would not affect me,This would be very helpful to me,This is a basic requirement for me,This would be a major problem for me,This would not affect me,This is a basic requirement for me,This would be a minor inconvenience,This is a basic requirement for me,This is a basic requirement for me,This would not affect me
C3-65,35000_to_49999,female,22,employed_full_time,masters_graduate_degree,4,5 - Important,5 - Important,7 - Very important,6,This would not affect me,This would be very helpful to me,This is a basic requirement for me,This would be very helpful to me,This would be very helpful to me,This is a basic requirement for me,This would be very helpful to me,This is a basic requirement for me,This is a basic requirement for me,This is a basic requirement for me
C3-66,15000_to_24999,female,47,employed_full_time,trade_or_vocational,7 - Very important,7 - Very important,7 - Very important,7 - Very important,7 - Very important,This is a basic requirement for me,This would not affect me,This would be very helpful to me,This would be a major problem for me,This is a basic requirement for me,This would be a major problem for me,This would be a major problem for me,This would be very helpful to me,This would be a major problem for me,This would be a minor inconvenience
C3-67,35000_to_49999,female,47,employed_full_time,high_school_or_equivalent,1 - Not at all important,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,This would not affect me,This would not affect me,This would be very helpful to me,This would be a major problem for me,This would be very helpful to me,This would be a major problem for me,This would be a major problem for me,This would be very helpful to me,This would be very helpful to me,This would be a major problem for me
C3-68,15000_to_24999,male,20,student_part_time,some_high_school_or_less,5 - Important,4,7 - Very important,7 - Very important,2,This would be a minor inconvenience,This would be very helpful to me,This would be very helpful to me,This would not affect me,This would be very helpful to me,This would be a major problem for me,This would be a major problem for me,This would be very helpful to me,This would be a major problem for me,This is a basic requirement for me
C3-69,prefer_not_to_answer,female,20,student_full_time,some_high_school_or_less,3 - Somewhat important,5 - Important,7 - Very important,7 - Very important,5 - Important,This would not affect me,This is a basic requirement for me,This would be a major problem for me,This would be a minor inconvenience,This is a basic requirement for me,This would be a minor inconvenience,This would be very helpful to me,This would be a minor inconvenience,This would be a minor inconvenience,This would not affect me
C3-70,15000_to_24999,female,19,student_part_time,high_school_or_equivalent,5 - Important,9 - Extremely important,9 - Extremely important,8,7 - Very important,This would be a minor inconvenience,This would be very helpful to me,This would be very helpful to me,This would be a minor inconvenience,This would be very helpful to me,This would be a major problem for me,This would be a major problem for me,This would be very helpful to me,This would not affect me,This would not affect me
C3-71,35000_to_49999,female,40,employed_full_time,college_diploma,1 - Not at all important,5 - Important,9 - Extremely important,9 - Extremely important,5 - Important,This would not affect me,This would not affect me,This is a basic requirement for me,This is a basic requirement for me,This would be very helpful to me,This would be a major problem for me,This would be a major problem for me,This is a basic requirement for me,This would be very helpful to me,This would be a minor inconvenience
C3-72,prefer_not_to_answer,female,23,disability,high_school_or_equivalent,7 - Very important,9 - Extremely important,8,8,8,This would be very helpful to me,This would be a major problem for me,This would be very helpful to me,This would be a major problem for me,This is a basic requirement for me,This would be a minor inconvenience,This would be a major problem for me,This is a basic requirement for me,This would be very helpful to me,This would be a minor inconvenience
C3-73,less_than_15,male,24,student_part_time,some_high_school_or_less,2,7 - Very important,5 - Important,7 - Very important,3 - Somewhat important,This would not affect me,This is a basic requirement for me,This would be a minor inconvenience,This is a basic requirement for me,This would be a major problem for me,This is a basic requirement for me,This would be very helpful to me,This would be a minor inconvenience,This would be very helpful to me,This would be a major problem for me
C3-74,50000_to_74999,male,31,employed_full_time,college_diploma,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,This would be very helpful to me,This would be very helpful to me,This would be very helpful to me,This would be very helpful to me,This would be very helpful to me,This would be very helpful to me,This would be very helpful to me,This would be very helpful to me,This would be very helpful to me,This would be very helpful to me
C3-75,less_than_15,female,39,disability,high_school_or_equivalent,3 - Somewhat important,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,This is a basic requirement for me,This is a basic requirement for me,This would be very helpful to me,This would be very helpful to me,This would be very helpful to me,This would be very helpful to me,This would be very helpful to me,This would be very helpful to me,This would be very helpful to me,This is a basic requirement for me
C3-76,prefer_not_to_answer,male,19,student_full_time,high_school_or_equivalent,3 - Somewhat important,5 - Important,7 - Very important,7 - Very important,9 - Extremely important,This would be a minor inconvenience,This is a basic requirement for me,This would be very helpful to me,This would be a minor inconvenience,This would be very helpful to me,This would be a major problem for me,This would be a major problem for me,This would be very helpful to me,This would be very helpful to me,This is a basic requirement for me
C3-77,150000_to_249999,male,34,employed_full_time,college_diploma,5 - Important,4,6,3 - Somewhat important,5 - Important,This would not affect me,This would be a major problem for me,This is a basic requirement for me,This would be a minor inconvenience,This would be a major problem for me,This would not affect me,This is a basic requirement for me,This is a basic requirement for me,This would be a major problem for me,This would be a minor inconvenience
C3-78,75000_to_99999,female,33,homemaker,high_school_or_equivalent,3 - Somewhat important,8,9 - Extremely important,9 - Extremely important,8,This would be a minor inconvenience,This is a basic requirement for me,This would be very helpful to me,This would be a minor inconvenience,This would be very helpful to me,This would be a major problem for me,This would be a major problem for me,This would be very helpful to me,This would be very helpful to me,This would be a minor inconvenience
C3-79,35000_to_49999,female,18,student_full_time,high_school_or_equivalent,6,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,This would be very helpful to me,This would be a minor inconvenience,This is a basic requirement for me,This would be a major problem for me,This is a basic requirement for me,This would be a major problem for me,This would be a major problem for me,This is a basic requirement for me,This would be very helpful to me,This would be a minor inconvenience
C3-80,75000_to_99999,female,31,temporarily-unemployed,masters_graduate_degree,3 - Somewhat important,7 - Very important,7 - Very important,9 - Extremely important,8,This is a basic requirement for me,This is a basic requirement for me,This would be very helpful to me,This would be a major problem for me,This would be very helpful to me,This would be a major problem for me,This would be a major problem for me,This would be very helpful to me,This is a basic requirement for me,This would be a minor inconvenience
C3-81,15000_to_24999,male,24,employed_full_time,university_undergraduate_degree,9 - Extremely important,7 - Very important,7 - Very important,9 - Extremely important,9 - Extremely important,This would not affect me,This would not affect me,This would be a minor inconvenience,This would be very helpful to me,This is a basic requirement for me,This would be a major problem for me,This would be a major problem for me,This would be very helpful to me,This would be very helpful to me,This would be a major problem for me
