ID,Income_us,Gender,Age,Employment,Education,F6_importance,F7_importance,F8_importance,F9_importance,F10_importance,F11_importance,F6_functional,F6_dysfunctional,F7_functional,F7_dysfunctional,F8_functional,F8_dysfunctional,F9_functional,F9_dysfunctional,F10_dysfunctional,F10_functional,F11_functional,F11_dysfunctional
ALL1-12,prefer_not_to_answer,female,27,temporarily-unemployed,high_school_or_equivalent,5 - Important,5 - Important,5 - Important,5 - Important,4,3 - Somewhat important,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral
ALL1-13,less_than_15,female,31,retired,high_school_or_equivalent,7 - Very important,7 - Very important,9 - Extremely important,7 - Very important,9 - Extremely important,7 - Very important,I am neutral,I expect it,I like it,I dislike it,I like it,I dislike it,I am neutral,I dislike it,I dislike it,I like it,I like it,I dislike it
ALL1-14,less_than_15,male,21,student_full_time,high_school_or_equivalent,7 - Very important,9 - Extremely important,9 - Extremely important,7 - Very important,9 - Extremely important,7 - Very important,I can tolerate it,I dislike it,I like it,I can tolerate it,I can tolerate it,I dislike it,I like it,I can tolerate it,I dislike it,I like it,I am neutral,I like it
ALL1-15,prefer_not_to_answer,male,27,student_full_time,doctorate,5 - Important,5 - Important,5 - Important,5 - Important,5 - Important,5 - Important,I like it,I am neutral,I like it,I dislike it,I like it,I dislike it,I like it,I can tolerate it,I dislike it,I like it,I dislike it,I like it
ALL1-16,50000_to_74999,female,29,homemaker,high_school_or_equivalent,5 - Important,9 - Extremely important,7 - Very important,7 - Very important,9 - Extremely important,9 - Extremely important,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I dislike it,I expect it,I like it,I dislike it
ALL1-17,less_than_15,female,42,homemaker,high_school_or_equivalent,7 - Very important,9 - Extremely important,8,9 - Extremely important,9 - Extremely important,8,I am neutral,I like it,I like it,I dislike it,I like it,I dislike it,I like it,I can tolerate it,I dislike it,I like it,I expect it,I can tolerate it
ALL1-18,75000_to_99999,female,38,employed_full_time,college_diploma,7 - Very important,8,8,7 - Very important,8,6,I can tolerate it,I expect it,I expect it,I can tolerate it,I expect it,I can tolerate it,I expect it,I am neutral,I dislike it,I expect it,I expect it,I can tolerate it
ALL1-19,less_than_15,male,20,other,high_school_or_equivalent,4,5 - Important,6,4,7 - Very important,3 - Somewhat important,I expect it,I like it,I can tolerate it,I expect it,I like it,I am neutral,I like it,I expect it,I am neutral,I like it,I dislike it,I am neutral
ALL1-20,prefer_not_to_answer,female,20,self_employed,trade_or_vocational,3 - Somewhat important,5 - Important,5 - Important,4,7 - Very important,7 - Very important,I can tolerate it,I can tolerate it,I am neutral,I like it,I dislike it,I am neutral,I am neutral,I am neutral,I dislike it,I expect it,I am neutral,I can tolerate it
ALL1-21,100000_to_149999,female,20,student_full_time,high_school_or_equivalent,3 - Somewhat important,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,I am neutral,I am neutral,I expect it,I dislike it,I expect it,I dislike it,I expect it,I dislike it,I dislike it,I expect it,I like it,I can tolerate it
ALL1-22,less_than_15,female,19,student_part_time,high_school_or_equivalent,5 - Important,5 - Important,7 - Very important,7 - Very important,7 - Very important,7 - Very important,I am neutral,I expect it,I am neutral,I am neutral,I like it,I am neutral,I expect it,I am neutral,I am neutral,I am neutral,I expect it,I like it
ALL1-23,prefer_not_to_answer,female,37,temporarily-unemployed,high_school_or_equivalent,5 - Important,5 - Important,5 - Important,5 - Important,9 - Extremely important,5 - Important,I like it,I can tolerate it,I like it,I can tolerate it,I like it,I dislike it,I like it,I can tolerate it,I dislike it,I like it,I like it,I dislike it
ALL1-24,prefer_not_to_answer,male,32,employed_full_time,college_diploma,5 - Important,7 - Very important,5 - Important,7 - Very important,9 - Extremely important,9 - Extremely important,I like it,I am neutral,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I dislike it,I like it,I like it,I dislike it
ALL1-25,less_than_15,female,20,student_full_time,high_school_or_equivalent,9 - Extremely important,8,7 - Very important,8,9 - Extremely important,9 - Extremely important,I am neutral,I expect it,I am neutral,I expect it,I can tolerate it,I dislike it,I like it,I am neutral,I expect it,I like it,I expect it,I am neutral
ALL1-26,prefer_not_to_answer,male,21,self_employed,other,7 - Very important,7 - Very important,7 - Very important,7 - Very important,7 - Very important,7 - Very important,I am neutral,I am neutral,I like it,I can tolerate it,I like it,I dislike it,I expect it,I can tolerate it,I dislike it,I like it,I like it,I am neutral
ALL1-27,prefer_not_to_answer,female,25,student_full_time,other,9 - Extremely important,7 - Very important,9 - Extremely important,8,8,7 - Very important,I like it,I dislike it,I like it,I dislike it,I expect it,I dislike it,I like it,I dislike it,I dislike it,I like it,I like it,I dislike it
ALL1-28,100000_to_149999,male,42,employed_part_time,college_diploma,6,8,8,7 - Very important,6,6,I expect it,I like it,I like it,I expect it,I like it,I expect it,I like it,I can tolerate it,I am neutral,I am neutral,I expect it,I like it
ALL1-29,prefer_not_to_answer,female,23,employed_part_time,university_undergraduate_degree,3 - Somewhat important,9 - Extremely important,9 - Extremely important,7 - Very important,9 - Extremely important,8,I am neutral,I am neutral,I like it,I dislike it,I like it,I dislike it,I like it,I can tolerate it,I dislike it,I like it,I like it,I dislike it
ALL1-30,150000_to_249999,male,53,employed_full_time,university_undergraduate_degree,9 - Extremely important,7 - Very important,9 - Extremely important,7 - Very important,9 - Extremely important,5 - Important,I like it,I can tolerate it,I like it,I dislike it,I expect it,I dislike it,I like it,I dislike it,I dislike it,I expect it,I like it,I can tolerate it
ALL1-31,prefer_not_to_answer,male,19,employed_part_time,some_high_school_or_less,2,2,9 - Extremely important,9 - Extremely important,9 - Extremely important,7 - Very important,I expect it,I like it,I expect it,I can tolerate it,I expect it,I can tolerate it,I am neutral,I expect it,I expect it,I am neutral,I am neutral,I can tolerate it
ALL1-32,25000_to_34999,female,24,student_part_time,college_diploma,3 - Somewhat important,5 - Important,5 - Important,6,5 - Important,3 - Somewhat important,I expect it,I am neutral,I expect it,I expect it,I expect it,I expect it,I expect it,I expect it,I expect it,I am neutral,I am neutral,I expect it
ALL1-33,25000_to_34999,female,41,employed_full_time,high_school_or_equivalent,7 - Very important,5 - Important,7 - Very important,7 - Very important,9 - Extremely important,5 - Important,I dislike it,I like it,I like it,I dislike it,I like it,I can tolerate it,I like it,I can tolerate it,I dislike it,I expect it,I expect it,I can tolerate it
ALL1-34,35000_to_49999,male,29,employed_full_time,college_diploma,4,7 - Very important,6,7 - Very important,9 - Extremely important,7 - Very important,I like it,I dislike it,I expect it,I can tolerate it,I like it,I am neutral,I like it,I dislike it,I dislike it,I am neutral,I expect it,I am neutral
ALL1-35,25000_to_34999,female,42,employed_full_time,some_high_school_or_less,5 - Important,7 - Very important,9 - Extremely important,7 - Very important,9 - Extremely important,9 - Extremely important,I am neutral,I am neutral,I like it,I dislike it,I like it,I dislike it,I like it,I am neutral,I dislike it,I like it,I like it,I dislike it
ALL1-36,less_than_15,male,19,student_full_time,high_school_or_equivalent,3 - Somewhat important,5 - Important,5 - Important,5 - Important,5 - Important,5 - Important,I like it,I expect it,I like it,I am neutral,I like it,I dislike it,I like it,I like it,I am neutral,I like it,I expect it,I like it
ALL1-37,35000_to_49999,male,38,employed_full_time,high_school_or_equivalent,7 - Very important,7 - Very important,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,I like it,I can tolerate it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I dislike it,I like it,I like it,I dislike it
ALL1-38,35000_to_49999,female,21,employed_full_time,university_undergraduate_degree,9 - Extremely important,7 - Very important,7 - Very important,7 - Very important,9 - Extremely important,5 - Important,I like it,I am neutral,I expect it,I dislike it,I like it,I like it,I like it,I dislike it,I dislike it,I like it,I like it,I like it
ALL1-39,prefer_not_to_answer,male,19,student_full_time,high_school_or_equivalent,7 - Very important,9 - Extremely important,9 - Extremely important,7 - Very important,8,6,I like it,I am neutral,I expect it,I can tolerate it,I like it,I am neutral,I expect it,I expect it,I can tolerate it,I expect it,I expect it,I can tolerate it
ALL1-40,150000_to_249999,male,44,employed_full_time,doctorate,4,6,7 - Very important,5 - Important,5 - Important,7 - Very important,I am neutral,I expect it,I expect it,I dislike it,I expect it,I dislike it,I expect it,I dislike it,I dislike it,I expect it,I like it,I dislike it
ALL1-41,less_than_15,male,31,employed_part_time,high_school_or_equivalent,3 - Somewhat important,5 - Important,7 - Very important,7 - Very important,9 - Extremely important,9 - Extremely important,I like it,I can tolerate it,I expect it,I dislike it,I expect it,I dislike it,I expect it,I dislike it,I dislike it,I like it,I like it,I dislike it
ALL1-42,100000_to_149999,female,31,employed_part_time,university_undergraduate_degree,5 - Important,6,6,3 - Somewhat important,6,6,I dislike it,I expect it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I dislike it,I like it,I like it,I dislike it
ALL1-43,less_than_15,female,46,self_employed,college_diploma,7 - Very important,7 - Very important,6,7 - Very important,7 - Very important,6,I expect it,I like it,I like it,I dislike it,I like it,I dislike it,I expect it,I like it,I dislike it,I like it,I like it,I dislike it
ALL1-44,35000_to_49999,female,44,self_employed,high_school_or_equivalent,5 - Important,6,7 - Very important,7 - Very important,6,5 - Important,I like it,I can tolerate it,I like it,I dislike it,I expect it,I dislike it,I dislike it,I dislike it,I dislike it,I expect it,I like it,I dislike it
ALL1-45,50000_to_74999,female,20,employed_full_time,high_school_or_equivalent,1 - Not at all important,4,7 - Very important,7 - Very important,3 - Somewhat important,2,I dislike it,I like it,I like it,I can tolerate it,I like it,I dislike it,I like it,I can tolerate it,I can tolerate it,I like it,I am neutral,I am neutral
ALL1-46,50000_to_74999,female,32,employed_full_time,doctorate,5 - Important,5 - Important,5 - Important,5 - Important,5 - Important,5 - Important,I expect it,I am neutral,I like it,I like it,I expect it,I expect it,I am neutral,I expect it,I expect it,I am neutral,I can tolerate it,I expect it
ALL1-47,50000_to_74999,female,25,student_full_time,college_diploma,9 - Extremely important,7 - Very important,7 - Very important,7 - Very important,9 - Extremely important,6,I can tolerate it,I expect it,I am neutral,I expect it,I can tolerate it,I like it,I can tolerate it,I expect it,I am neutral,I am neutral,I am neutral,I am neutral
ALL1-48,35000_to_49999,male,30,employed_full_time,high_school_or_equivalent,3 - Somewhat important,7 - Very important,7 - Very important,7 - Very important,9 - Extremely important,9 - Extremely important,I expect it,I like it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I dislike it,I like it,I like it,I dislike it
ALL1-49,35000_to_49999,female,18,student_full_time,high_school_or_equivalent,1 - Not at all important,2,3 - Somewhat important,4,5 - Important,6,I dislike it,I like it,I am neutral,I can tolerate it,I expect it,I dislike it,I expect it,I can tolerate it,I like it,I can tolerate it,I expect it,I am neutral
ALL1-50,less_than_15,female,21,temporarily-unemployed,some_high_school_or_less,3 - Somewhat important,5 - Important,6,7 - Very important,9 - Extremely important,7 - Very important,I can tolerate it,I expect it,I expect it,I dislike it,I like it,I dislike it,I like it,I dislike it,I dislike it,I like it,I like it,I dislike it
ALL1-51,35000_to_49999,female,24,student_part_time,college_diploma,8,9 - Extremely important,7 - Very important,8,9 - Extremely important,8,I can tolerate it,I dislike it,I like it,I am neutral,I like it,I am neutral,I can tolerate it,I am neutral,I dislike it,I like it,I like it,I am neutral
ALL1-52,75000_to_99999,female,22,employed_full_time,university_undergraduate_degree,6,4,4,3 - Somewhat important,4,4,I expect it,I expect it,I am neutral,I expect it,I expect it,I am neutral,I am neutral,I am neutral,I expect it,I am neutral,I am neutral,I am neutral
ALL1-53,75000_to_99999,male,21,student_part_time,high_school_or_equivalent,7 - Very important,7 - Very important,7 - Very important,7 - Very important,9 - Extremely important,7 - Very important,I am neutral,I expect it,I like it,I can tolerate it,I like it,I dislike it,I like it,I can tolerate it,I dislike it,I like it,I like it,I am neutral
ALL1-55,25000_to_34999,female,26,self_employed,high_school_or_equivalent,3 - Somewhat important,9 - Extremely important,9 - Extremely important,7 - Very important,9 - Extremely important,5 - Important,I am neutral,I expect it,I like it,I can tolerate it,I like it,I dislike it,I like it,I can tolerate it,I dislike it,I like it,I am neutral,I am neutral
ALL1-56,50000_to_74999,male,38,self_employed,university_undergraduate_degree,7 - Very important,9 - Extremely important,7 - Very important,7 - Very important,8,7 - Very important,I like it,I dislike it,I like it,I can tolerate it,I like it,I dislike it,I like it,I dislike it,I dislike it,I like it,I like it,I dislike it
ALL1-57,50000_to_74999,female,47,self_employed,university_undergraduate_degree,9 - Extremely important,7 - Very important,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,I can tolerate it,I am neutral,I like it,I dislike it,I expect it,I dislike it,I like it,I dislike it,I dislike it,I like it,I like it,I dislike it
ALL1-58,prefer_not_to_answer,male,19,student_part_time,high_school_or_equivalent,9 - Extremely important,5 - Important,7 - Very important,3 - Somewhat important,9 - Extremely important,9 - Extremely important,I like it,I dislike it,I expect it,I can tolerate it,I expect it,I can tolerate it,I like it,I am neutral,I dislike it,I expect it,I like it,I can tolerate it
ALL1-59,50000_to_74999,male,23,employed_full_time,university_undergraduate_degree,5 - Important,7 - Very important,8,7 - Very important,9 - Extremely important,7 - Very important,I expect it,I am neutral,I like it,I dislike it,I expect it,I dislike it,I like it,I can tolerate it,I dislike it,I like it,I like it,I am neutral
ALL1-60,100000_to_149999,female,51,employed_full_time,university_undergraduate_degree,7 - Very important,7 - Very important,8,8,9 - Extremely important,8,I dislike it,I like it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I dislike it,I like it,I like it,I dislike it
ALL1-61,150000_to_249999,male,23,employed_full_time,university_undergraduate_degree,3 - Somewhat important,6,9 - Extremely important,9 - Extremely important,8,9 - Extremely important,I like it,I am neutral,I expect it,I dislike it,I expect it,I dislike it,I expect it,I dislike it,I dislike it,I expect it,I like it,I can tolerate it
ALL1-62,150000_to_249999,female,19,homemaker,high_school_or_equivalent,5 - Important,3 - Somewhat important,6,6,9 - Extremely important,8,I expect it,I can tolerate it,I like it,I am neutral,I expect it,I am neutral,I like it,I am neutral,I dislike it,I like it,I am neutral,I can tolerate it
ALL1-63,50000_to_74999,male,30,student_full_time,university_undergraduate_degree,5 - Important,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,I like it,I can tolerate it,I expect it,I can tolerate it,I like it,I dislike it,I expect it,I dislike it,I dislike it,I expect it,I expect it,I dislike it
ALL1-64,25000_to_34999,female,28,employed_full_time,masters_graduate_degree,7 - Very important,7 - Very important,9 - Extremely important,7 - Very important,9 - Extremely important,9 - Extremely important,I can tolerate it,I expect it,I expect it,I dislike it,I like it,I dislike it,I like it,I can tolerate it,I dislike it,I like it,I like it,I dislike it
ALL1-65,35000_to_49999,female,22,employed_part_time,college_diploma,3 - Somewhat important,9 - Extremely important,8,5 - Important,9 - Extremely important,6,I am neutral,I expect it,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I dislike it,I like it,I expect it,I dislike it
ALL1-66,prefer_not_to_answer,male,22,student_full_time,some_high_school_or_less,6,9 - Extremely important,9 - Extremely important,6,9 - Extremely important,7 - Very important,I am neutral,I am neutral,I like it,I can tolerate it,I like it,I can tolerate it,I like it,I can tolerate it,I dislike it,I expect it,I dislike it,I expect it
ALL1-67,prefer_not_to_answer,male,26,other,high_school_or_equivalent,4,2,4,4,4,4,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I can tolerate it,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral
ALL1-68,15000_to_24999,female,25,employed_full_time,high_school_or_equivalent,4,7 - Very important,6,3 - Somewhat important,7 - Very important,1 - Not at all important,I like it,I can tolerate it,I expect it,I am neutral,I expect it,I can tolerate it,I like it,I dislike it,I expect it,I expect it,I am neutral,I am neutral
ALL1-69,prefer_not_to_answer,female,19,student_full_time,high_school_or_equivalent,3 - Somewhat important,5 - Important,7 - Very important,3 - Somewhat important,8,5 - Important,I am neutral,I dislike it,I am neutral,I am neutral,I expect it,I am neutral,I expect it,I expect it,I expect it,I am neutral,I expect it,I expect it
ALL1-70,50000_to_74999,female,30,self_employed,masters_graduate_degree,7 - Very important,7 - Very important,7 - Very important,7 - Very important,8,7 - Very important,I am neutral,I am neutral,I expect it,I am neutral,I expect it,I dislike it,I like it,I dislike it,I dislike it,I expect it,I dislike it,I am neutral
ALL1-71,250000_or_more,male,46,employed_full_time,university_undergraduate_degree,7 - Very important,7 - Very important,9 - Extremely important,9 - Extremely important,9 - Extremely important,8,I expect it,I am neutral,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I dislike it,I like it,I like it,I dislike it
ALL1-72,prefer_not_to_answer,male,35,employed_full_time,high_school_or_equivalent,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,I am neutral,I expect it,I like it,I dislike it,I like it,I dislike it,I expect it,I dislike it,I dislike it,I expect it,I like it,I dislike it
ALL1-73,15000_to_24999,female,21,student_full_time,high_school_or_equivalent,3 - Somewhat important,5 - Important,5 - Important,4,7 - Very important,6,I am neutral,I dislike it,I can tolerate it,I like it,I am neutral,I can tolerate it,I can tolerate it,I expect it,I dislike it,I am neutral,I am neutral,I expect it
ALL1-74,15000_to_24999,female,21,student_full_time,high_school_or_equivalent,3 - Somewhat important,5 - Important,5 - Important,4,7 - Very important,6,I am neutral,I dislike it,I can tolerate it,I like it,I am neutral,I can tolerate it,I can tolerate it,I expect it,I dislike it,I am neutral,I am neutral,I expect it
ALL1-75,35000_to_49999,female,42,homemaker,college_diploma,4,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,8,I like it,I can tolerate it,I like it,I dislike it,I expect it,I dislike it,I like it,I dislike it,I dislike it,I like it,I like it,I dislike it
ALL1-76,75000_to_99999,male,21,employed_full_time,university_undergraduate_degree,7 - Very important,7 - Very important,8,6,7 - Very important,6,I like it,I expect it,I like it,I dislike it,I like it,I can tolerate it,I like it,I can tolerate it,I dislike it,I like it,I like it,I am neutral
ALL1-77,25000_to_34999,female,34,temporarily-unemployed,college_diploma,4,4,5 - Important,5 - Important,5 - Important,5 - Important,I like it,I am neutral,I expect it,I dislike it,I expect it,I dislike it,I like it,I can tolerate it,I dislike it,I expect it,I like it,I can tolerate it
ALL1-78,less_than_15,male,20,self_employed,high_school_or_equivalent,3 - Somewhat important,3 - Somewhat important,3 - Somewhat important,3 - Somewhat important,5 - Important,5 - Important,I am neutral,I dislike it,I like it,I dislike it,I like it,I like it,I like it,I dislike it,I expect it,I can tolerate it,I am neutral,I am neutral
ALL1-79,15000_to_24999,female,24,self_employed,masters_graduate_degree,4,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,8,I like it,I dislike it,I like it,I dislike it,I expect it,I can tolerate it,I like it,I can tolerate it,I dislike it,I expect it,I am neutral,I am neutral
ALL1-80,25000_to_34999,male,46,employed_full_time,high_school_or_equivalent,5 - Important,7 - Very important,8,7 - Very important,9 - Extremely important,7 - Very important,I expect it,I am neutral,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I dislike it,I like it,I like it,I dislike it
ALL1-81,150000_to_249999,male,51,employed_full_time,university_undergraduate_degree,9 - Extremely important,6,9 - Extremely important,7 - Very important,9 - Extremely important,7 - Very important,I expect it,I dislike it,I like it,I can tolerate it,I expect it,I dislike it,I like it,I can tolerate it,I dislike it,I expect it,I like it,I can tolerate it
ALL1-82,75000_to_99999,male,36,student_full_time,college_diploma,3 - Somewhat important,5 - Important,5 - Important,4,5 - Important,6,I am neutral,I am neutral,I like it,I dislike it,I like it,I dislike it,I like it,I dislike it,I dislike it,I can tolerate it,I like it,I dislike it
ALL1-83,25000_to_34999,male,26,employed_part_time,university_undergraduate_degree,7 - Very important,8,9 - Extremely important,6,8,9 - Extremely important,I am neutral,I expect it,I like it,I dislike it,I expect it,I dislike it,I expect it,I dislike it,I dislike it,I expect it,I like it,I dislike it
ALL1-84,15000_to_24999,female,35,homemaker,trade_or_vocational,8,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,8,I expect it,I am neutral,I like it,I dislike it,I expect it,I can tolerate it,I like it,I can tolerate it,I dislike it,I expect it,I like it,I can tolerate it
ALL1-85,25000_to_34999,female,27,employed_part_time,high_school_or_equivalent,3 - Somewhat important,3 - Somewhat important,4,5 - Important,7 - Very important,7 - Very important,I am neutral,I like it,I expect it,I can tolerate it,I like it,I can tolerate it,I like it,I can tolerate it,I dislike it,I dislike it,I am neutral,I can tolerate it
ALL1-86,75000_to_99999,female,23,employed_full_time,university_undergraduate_degree,3 - Somewhat important,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,I am neutral,I expect it,I expect it,I dislike it,I like it,I dislike it,I like it,I can tolerate it,I dislike it,I like it,I like it,I can tolerate it
ALL1-87,35000_to_49999,female,27,homemaker,high_school_or_equivalent,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,I can tolerate it,I like it,I expect it,I dislike it,I expect it,I dislike it,I expect it,I can tolerate it,I dislike it,I expect it,I expect it,I dislike it
ALL1-88,15000_to_24999,male,29,employed_full_time,high_school_or_equivalent,5 - Important,4,7 - Very important,7 - Very important,7 - Very important,7 - Very important,I expect it,I dislike it,I like it,I dislike it,I like it,I dislike it,I like it,I am neutral,I dislike it,I like it,I like it,I can tolerate it
ALL1-89,35000_to_49999,female,21,student_part_time,high_school_or_equivalent,5 - Important,9 - Extremely important,9 - Extremely important,8,9 - Extremely important,9 - Extremely important,I like it,I expect it,I like it,I dislike it,I like it,I can tolerate it,I like it,I can tolerate it,I dislike it,I like it,I like it,I dislike it
ALL1-90,less_than_15,female,20,temporarily-unemployed,some_high_school_or_less,6,5 - Important,6,5 - Important,9 - Extremely important,3 - Somewhat important,I like it,I like it,I can tolerate it,I expect it,I can tolerate it,I expect it,I am neutral,I like it,I expect it,I like it,I like it,I like it
ALL1-91,50000_to_74999,male,22,student_full_time,university_undergraduate_degree,5 - Important,5 - Important,5 - Important,5 - Important,7 - Very important,8,I like it,I can tolerate it,I expect it,I dislike it,I expect it,I dislike it,I expect it,I dislike it,I dislike it,I expect it,I like it,I can tolerate it
ALL1-92,100000_to_149999,female,35,employed_full_time,masters_graduate_degree,3 - Somewhat important,7 - Very important,6,5 - Important,9 - Extremely important,5 - Important,I like it,I can tolerate it,I expect it,I dislike it,I like it,I dislike it,I like it,I am neutral,I dislike it,I expect it,I like it,I can tolerate it
ALL1-93,15000_to_24999,female,33,employed_full_time,high_school_or_equivalent,6,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,I like it,I can tolerate it,I like it,I can tolerate it,I like it,I can tolerate it,I like it,I can tolerate it,I dislike it,I like it,I like it,I dislike it
ALL1-94,less_than_15,female,23,employed_part_time,college_diploma,3 - Somewhat important,3 - Somewhat important,8,5 - Important,9 - Extremely important,6,I expect it,I can tolerate it,I can tolerate it,I can tolerate it,I am neutral,I am neutral,I am neutral,I am neutral,I dislike it,I expect it,I am neutral,I am neutral
ALL1-95,15000_to_24999,female,25,homemaker,high_school_or_equivalent,7 - Very important,6,9 - Extremely important,8,9 - Extremely important,8,I like it,I can tolerate it,I like it,I can tolerate it,I like it,I can tolerate it,I like it,I can tolerate it,I dislike it,I expect it,I like it,I dislike it
ALL1-96,75000_to_99999,female,21,employed_part_time,college_diploma,3 - Somewhat important,3 - Somewhat important,3 - Somewhat important,3 - Somewhat important,3 - Somewhat important,3 - Somewhat important,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral
ALL1-97,prefer_not_to_answer,male,43,employed_full_time,university_undergraduate_degree,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,I like it,I dislike it,I like it,I am neutral,I expect it,I can tolerate it,I like it,I am neutral,I dislike it,I like it,I am neutral,I am neutral
ALL1-98,less_than_15,female,33,homemaker,high_school_or_equivalent,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,I am neutral,I like it,I like it,I like it,I like it,I am neutral,I like it,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral
