ID,Income_us,Gender,Age,Employment,Education,F1_importance,F2_importance,F3_importance,F4_importance,F5_importance,F1_functional,F1_dysfunctional,F2_functional,F2_dysfunctional,F3_functional,F3_dysfunctional,F4_dysfunctional,F4_functional,F5_functional,F5_dysfunctional
C2-11,100000_to_149999,male,26,employed_full_time,masters_graduate_degree,4,7 - Very important,5 - Important,7 - Very important,7 - Very important,It is a basic necessity or I expect it that way,"I dislike it, but I can live with it that way",I am neutral,"I dislike it, but I can live with it that way",I enjoy it that way,It is a basic necessity or I expect it that way,"I dislike it, and I can’t accept it",I enjoy it that way,It is a basic necessity or I expect it that way,"I dislike it, but I can live with it that way"
C2-12,150000_to_249999,male,21,student_full_time,some_high_school_or_less,9 - Extremely important,7 - Very important,7 - Very important,9 - Extremely important,7 - Very important,"I dislike it, but I can live with it that way","I dislike it, but I can live with it that way",It is a basic necessity or I expect it that way,"I dislike it, and I can’t accept it",I enjoy it that way,I am neutral,"I dislike it, but I can live with it that way",I enjoy it that way,I am neutral,I am neutral
C2-13,100000_to_149999,male,32,employed_full_time,masters_graduate_degree,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,7 - Very important,I am neutral,I am neutral,I enjoy it that way,"I dislike it, but I can live with it that way",I enjoy it that way,"I dislike it, but I can live with it that way","I dislike it, and I can’t accept it",I enjoy it that way,It is a basic necessity or I expect it that way,"I dislike it, but I can live with it that way"
C2-14,50000_to_74999,female,29,employed_full_time,college_diploma,3 - Somewhat important,9 - Extremely important,9 - Extremely important,9 - Extremely important,7 - Very important,I am neutral,I am neutral,It is a basic necessity or I expect it that way,"I dislike it, and I can’t accept it",It is a basic necessity or I expect it that way,"I dislike it, and I can’t accept it","I dislike it, and I can’t accept it",It is a basic necessity or I expect it that way,I am neutral,"I dislike it, and I can’t accept it"
C2-15,35000_to_49999,female,30,homemaker,trade_or_vocational,3 - Somewhat important,6,6,6,6,I am neutral,"I dislike it, but I can live with it that way",I enjoy it that way,"I dislike it, but I can live with it that way",I enjoy it that way,"I dislike it, and I can’t accept it","I dislike it, and I can’t accept it",It is a basic necessity or I expect it that way,I enjoy it that way,"I dislike it, and I can’t accept it"
C2-16,35000_to_49999,female,20,self_employed,university_undergraduate_degree,5 - Important,6,6,5 - Important,5 - Important,I am neutral,I enjoy it that way,I enjoy it that way,I am neutral,I enjoy it that way,I am neutral,I enjoy it that way,I am neutral,I am neutral,It is a basic necessity or I expect it that way
C2-17,prefer_not_to_answer,male,20,student_full_time,some_high_school_or_less,3 - Somewhat important,6,7 - Very important,9 - Extremely important,7 - Very important,I am neutral,I am neutral,I enjoy it that way,"I dislike it, and I can’t accept it",I enjoy it that way,"I dislike it, and I can’t accept it","I dislike it, and I can’t accept it",It is a basic necessity or I expect it that way,It is a basic necessity or I expect it that way,"I dislike it, and I can’t accept it"
C2-18,prefer_not_to_answer,female,19,student_part_time,high_school_or_equivalent,5 - Important,6,5 - Important,7 - Very important,5 - Important,It is a basic necessity or I expect it that way,It is a basic necessity or I expect it that way,I enjoy it that way,I am neutral,I enjoy it that way,I am neutral,"I dislike it, but I can live with it that way",I enjoy it that way,I am neutral,I am neutral
C2-19,50000_to_74999,female,29,employed_full_time,university_undergraduate_degree,2,7 - Very important,7 - Very important,7 - Very important,7 - Very important,I am neutral,It is a basic necessity or I expect it that way,I enjoy it that way,"I dislike it, and I can’t accept it",It is a basic necessity or I expect it that way,"I dislike it, but I can live with it that way","I dislike it, and I can’t accept it",I enjoy it that way,I enjoy it that way,"I dislike it, but I can live with it that way"
C2-20,50000_to_74999,female,42,disability,some_high_school_or_less,1 - Not at all important,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,I am neutral,I am neutral,It is a basic necessity or I expect it that way,"I dislike it, but I can live with it that way",It is a basic necessity or I expect it that way,"I dislike it, but I can live with it that way","I dislike it, and I can’t accept it",I enjoy it that way,I am neutral,I am neutral
C2-21,35000_to_49999,male,19,self_employed,high_school_or_equivalent,1 - Not at all important,2,3 - Somewhat important,2,4,"I dislike it, but I can live with it that way","I dislike it, but I can live with it that way",I am neutral,It is a basic necessity or I expect it that way,It is a basic necessity or I expect it that way,"I dislike it, but I can live with it that way",I am neutral,I am neutral,"I dislike it, but I can live with it that way","I dislike it, but I can live with it that way"
C2-22,less_than_15,male,24,other,high_school_or_equivalent,6,7 - Very important,3 - Somewhat important,5 - Important,6,"I dislike it, and I can’t accept it",I enjoy it that way,It is a basic necessity or I expect it that way,I am neutral,I enjoy it that way,"I dislike it, and I can’t accept it",I am neutral,I am neutral,"I dislike it, and I can’t accept it",I am neutral
C2-23,less_than_15,male,16,student_full_time,some_high_school_or_less,4,6,9 - Extremely important,9 - Extremely important,9 - Extremely important,"I dislike it, and I can’t accept it",I am neutral,It is a basic necessity or I expect it that way,"I dislike it, and I can’t accept it",It is a basic necessity or I expect it that way,"I dislike it, and I can’t accept it","I dislike it, and I can’t accept it",It is a basic necessity or I expect it that way,I am neutral,"I dislike it, but I can live with it that way"
C2-24,75000_to_99999,male,41,employed_full_time,high_school_or_equivalent,7 - Very important,7 - Very important,7 - Very important,9 - Extremely important,9 - Extremely important,I enjoy it that way,"I dislike it, but I can live with it that way",I enjoy it that way,"I dislike it, and I can’t accept it",I enjoy it that way,"I dislike it, and I can’t accept it","I dislike it, and I can’t accept it",I enjoy it that way,I enjoy it that way,"I dislike it, but I can live with it that way"
C2-25,less_than_15,female,19,self_employed,some_high_school_or_less,4,3 - Somewhat important,3 - Somewhat important,3 - Somewhat important,2,I am neutral,I am neutral,"I dislike it, but I can live with it that way",I am neutral,"I dislike it, but I can live with it that way",I am neutral,I am neutral,I am neutral,"I dislike it, but I can live with it that way","I dislike it, but I can live with it that way"
C2-26,50000_to_74999,male,36,employed_full_time,university_undergraduate_degree,6,9 - Extremely important,6,6,7 - Very important,I am neutral,It is a basic necessity or I expect it that way,I enjoy it that way,"I dislike it, but I can live with it that way",I enjoy it that way,It is a basic necessity or I expect it that way,It is a basic necessity or I expect it that way,It is a basic necessity or I expect it that way,I enjoy it that way,It is a basic necessity or I expect it that way
C2-27,less_than_15,female,30,employed_full_time,high_school_or_equivalent,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,I am neutral,"I dislike it, but I can live with it that way",I enjoy it that way,"I dislike it, and I can’t accept it",It is a basic necessity or I expect it that way,"I dislike it, and I can’t accept it","I dislike it, and I can’t accept it",It is a basic necessity or I expect it that way,I enjoy it that way,"I dislike it, but I can live with it that way"
C2-28,50000_to_74999,male,20,employed_full_time,college_diploma,6,7 - Very important,6,9 - Extremely important,8,It is a basic necessity or I expect it that way,I enjoy it that way,I am neutral,It is a basic necessity or I expect it that way,I enjoy it that way,"I dislike it, but I can live with it that way","I dislike it, and I can’t accept it",I enjoy it that way,It is a basic necessity or I expect it that way,"I dislike it, but I can live with it that way"
C2-29,less_than_15,male,21,student_full_time,high_school_or_equivalent,2,1 - Not at all important,5 - Important,9 - Extremely important,7 - Very important,It is a basic necessity or I expect it that way,I am neutral,I enjoy it that way,"I dislike it, but I can live with it that way",I enjoy it that way,"I dislike it, and I can’t accept it","I dislike it, but I can live with it that way",I enjoy it that way,I enjoy it that way,I am neutral
C2-30,150000_to_249999,male,27,employed_full_time,university_undergraduate_degree,3 - Somewhat important,7 - Very important,8,8,7 - Very important,I am neutral,I enjoy it that way,I enjoy it that way,"I dislike it, but I can live with it that way",I enjoy it that way,"I dislike it, and I can’t accept it","I dislike it, and I can’t accept it",It is a basic necessity or I expect it that way,I am neutral,"I dislike it, but I can live with it that way"
C2-31,less_than_15,female,31,employed_part_time,high_school_or_equivalent,3 - Somewhat important,5 - Important,5 - Important,5 - Important,5 - Important,I enjoy it that way,I enjoy it that way,"I dislike it, but I can live with it that way",I am neutral,I am neutral,It is a basic necessity or I expect it that way,"I dislike it, but I can live with it that way",I enjoy it that way,I am neutral,I am neutral
C2-32,25000_to_34999,female,31,temporarily-unemployed,university_undergraduate_degree,8,8,7 - Very important,7 - Very important,6,I am neutral,I am neutral,I enjoy it that way,"I dislike it, and I can’t accept it",I enjoy it that way,"I dislike it, and I can’t accept it","I dislike it, and I can’t accept it",I enjoy it that way,I enjoy it that way,"I dislike it, and I can’t accept it"
C2-33,25000_to_34999,female,47,employed_full_time,high_school_or_equivalent,5 - Important,5 - Important,5 - Important,5 - Important,5 - Important,I enjoy it that way,I enjoy it that way,I enjoy it that way,I enjoy it that way,I enjoy it that way,I enjoy it that way,I enjoy it that way,I enjoy it that way,I enjoy it that way,I enjoy it that way
C2-34,50000_to_74999,female,29,employed_full_time,university_undergraduate_degree,4,9 - Extremely important,8,9 - Extremely important,8,I am neutral,"I dislike it, but I can live with it that way",It is a basic necessity or I expect it that way,"I dislike it, but I can live with it that way",I enjoy it that way,"I dislike it, and I can’t accept it","I dislike it, and I can’t accept it",I enjoy it that way,It is a basic necessity or I expect it that way,I am neutral
C2-35,50000_to_74999,male,17,student_full_time,high_school_or_equivalent,4,7 - Very important,9 - Extremely important,9 - Extremely important,5 - Important,"I dislike it, and I can’t accept it",I enjoy it that way,I enjoy it that way,I am neutral,I enjoy it that way,"I dislike it, but I can live with it that way","I dislike it, and I can’t accept it",I enjoy it that way,I enjoy it that way,I am neutral
C2-36,less_than_15,male,29,temporarily-unemployed,college_diploma,5 - Important,7 - Very important,5 - Important,5 - Important,9 - Extremely important,"I dislike it, and I can’t accept it",I enjoy it that way,I am neutral,"I dislike it, and I can’t accept it",I enjoy it that way,I am neutral,"I dislike it, and I can’t accept it",I enjoy it that way,I enjoy it that way,I am neutral
C2-37,prefer_not_to_answer,female,33,disability,university_undergraduate_degree,2,5 - Important,5 - Important,9 - Extremely important,5 - Important,I am neutral,I am neutral,I enjoy it that way,"I dislike it, but I can live with it that way",I enjoy it that way,"I dislike it, but I can live with it that way","I dislike it, and I can’t accept it",I enjoy it that way,I enjoy it that way,"I dislike it, but I can live with it that way"
C2-38,50000_to_74999,male,40,employed_full_time,university_undergraduate_degree,7 - Very important,7 - Very important,7 - Very important,9 - Extremely important,5 - Important,I enjoy it that way,It is a basic necessity or I expect it that way,It is a basic necessity or I expect it that way,"I dislike it, and I can’t accept it",I enjoy it that way,"I dislike it, but I can live with it that way","I dislike it, and I can’t accept it",I enjoy it that way,I enjoy it that way,"I dislike it, and I can’t accept it"
C2-39,less_than_15,female,20,temporarily-unemployed,high_school_or_equivalent,7 - Very important,6,6,6,5 - Important,I am neutral,"I dislike it, but I can live with it that way",It is a basic necessity or I expect it that way,I am neutral,I am neutral,"I dislike it, but I can live with it that way",I am neutral,I am neutral,"I dislike it, but I can live with it that way",I am neutral
C2-40,35000_to_49999,male,32,employed_full_time,university_undergraduate_degree,8,9 - Extremely important,8,9 - Extremely important,6,It is a basic necessity or I expect it that way,"I dislike it, but I can live with it that way",I enjoy it that way,"I dislike it, and I can’t accept it",It is a basic necessity or I expect it that way,"I dislike it, and I can’t accept it","I dislike it, and I can’t accept it",It is a basic necessity or I expect it that way,I enjoy it that way,"I dislike it, but I can live with it that way"
C2-41,50000_to_74999,female,50,homemaker,some_high_school_or_less,1 - Not at all important,9 - Extremely important,9 - Extremely important,9 - Extremely important,7 - Very important,"I dislike it, and I can’t accept it",It is a basic necessity or I expect it that way,I enjoy it that way,"I dislike it, and I can’t accept it",It is a basic necessity or I expect it that way,"I dislike it, and I can’t accept it","I dislike it, and I can’t accept it",It is a basic necessity or I expect it that way,It is a basic necessity or I expect it that way,"I dislike it, and I can’t accept it"
C2-42,25000_to_34999,female,26,homemaker,some_high_school_or_less,3 - Somewhat important,7 - Very important,7 - Very important,7 - Very important,7 - Very important,I enjoy it that way,I enjoy it that way,I enjoy it that way,"I dislike it, but I can live with it that way",I enjoy it that way,"I dislike it, and I can’t accept it","I dislike it, and I can’t accept it",I enjoy it that way,It is a basic necessity or I expect it that way,I am neutral
C2-43,35000_to_49999,male,32,employed_full_time,university_undergraduate_degree,7 - Very important,7 - Very important,7 - Very important,7 - Very important,7 - Very important,"I dislike it, but I can live with it that way",I enjoy it that way,It is a basic necessity or I expect it that way,"I dislike it, but I can live with it that way",I enjoy it that way,"I dislike it, but I can live with it that way","I dislike it, and I can’t accept it",I enjoy it that way,It is a basic necessity or I expect it that way,"I dislike it, but I can live with it that way"
C2-44,less_than_15,female,34,homemaker,high_school_or_equivalent,5 - Important,5 - Important,6,7 - Very important,5 - Important,"I dislike it, but I can live with it that way",I enjoy it that way,It is a basic necessity or I expect it that way,I enjoy it that way,I enjoy it that way,"I dislike it, and I can’t accept it","I dislike it, and I can’t accept it",I enjoy it that way,I enjoy it that way,"I dislike it, but I can live with it that way"
C2-45,25000_to_34999,female,20,temporarily-unemployed,high_school_or_equivalent,4,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,I enjoy it that way,"I dislike it, but I can live with it that way",I enjoy it that way,"I dislike it, and I can’t accept it",It is a basic necessity or I expect it that way,"I dislike it, and I can’t accept it","I dislike it, and I can’t accept it",It is a basic necessity or I expect it that way,I enjoy it that way,"I dislike it, but I can live with it that way"
C2-46,50000_to_74999,female,43,employed_full_time,masters_graduate_degree,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,I am neutral,I am neutral,I enjoy it that way,"I dislike it, and I can’t accept it",I enjoy it that way,"I dislike it, and I can’t accept it","I dislike it, and I can’t accept it",I enjoy it that way,I enjoy it that way,"I dislike it, and I can’t accept it"
C2-47,150000_to_249999,male,31,employed_full_time,high_school_or_equivalent,5 - Important,5 - Important,3 - Somewhat important,9 - Extremely important,5 - Important,I am neutral,"I dislike it, but I can live with it that way",I am neutral,"I dislike it, but I can live with it that way",I am neutral,I am neutral,It is a basic necessity or I expect it that way,"I dislike it, but I can live with it that way",I am neutral,It is a basic necessity or I expect it that way
C2-48,25000_to_34999,female,22,employed_part_time,college_diploma,3 - Somewhat important,7 - Very important,7 - Very important,7 - Very important,9 - Extremely important,I am neutral,I am neutral,I enjoy it that way,"I dislike it, but I can live with it that way",I enjoy it that way,"I dislike it, and I can’t accept it","I dislike it, and I can’t accept it",I enjoy it that way,I enjoy it that way,"I dislike it, but I can live with it that way"
C2-49,15000_to_24999,female,27,self_employed,high_school_or_equivalent,7 - Very important,6,7 - Very important,9 - Extremely important,8,I enjoy it that way,"I dislike it, but I can live with it that way",It is a basic necessity or I expect it that way,"I dislike it, and I can’t accept it",I enjoy it that way,"I dislike it, but I can live with it that way","I dislike it, and I can’t accept it",It is a basic necessity or I expect it that way,I enjoy it that way,"I dislike it, but I can live with it that way"
C2-50,prefer_not_to_answer,female,20,homemaker,high_school_or_equivalent,7 - Very important,9 - Extremely important,7 - Very important,9 - Extremely important,7 - Very important,I am neutral,I am neutral,I am neutral,I am neutral,It is a basic necessity or I expect it that way,"I dislike it, and I can’t accept it","I dislike it, and I can’t accept it",It is a basic necessity or I expect it that way,I am neutral,I am neutral
C2-51,35000_to_49999,female,22,homemaker,high_school_or_equivalent,5 - Important,9 - Extremely important,9 - Extremely important,7 - Very important,9 - Extremely important,I am neutral,It is a basic necessity or I expect it that way,I enjoy it that way,"I dislike it, but I can live with it that way",I enjoy it that way,"I dislike it, and I can’t accept it","I dislike it, and I can’t accept it",I enjoy it that way,I enjoy it that way,"I dislike it, but I can live with it that way"
C2-52,150000_to_249999,female,34,employed_full_time,masters_graduate_degree,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,I am neutral,I am neutral,I enjoy it that way,"I dislike it, but I can live with it that way",I enjoy it that way,"I dislike it, and I can’t accept it","I dislike it, and I can’t accept it",I enjoy it that way,I enjoy it that way,I am neutral
C2-53,15000_to_24999,female,22,employed_part_time,college_diploma,7 - Very important,9 - Extremely important,8,9 - Extremely important,9 - Extremely important,It is a basic necessity or I expect it that way,I am neutral,I enjoy it that way,"I dislike it, but I can live with it that way",I enjoy it that way,"I dislike it, and I can’t accept it","I dislike it, and I can’t accept it",It is a basic necessity or I expect it that way,I enjoy it that way,"I dislike it, and I can’t accept it"
C2-54,50000_to_74999,female,20,student_full_time,high_school_or_equivalent,7 - Very important,9 - Extremely important,7 - Very important,9 - Extremely important,7 - Very important,I am neutral,I am neutral,I am neutral,It is a basic necessity or I expect it that way,I am neutral,I am neutral,It is a basic necessity or I expect it that way,"I dislike it, but I can live with it that way",It is a basic necessity or I expect it that way,It is a basic necessity or I expect it that way
C2-55,less_than_15,male,41,temporarily-unemployed,college_diploma,3 - Somewhat important,3 - Somewhat important,3 - Somewhat important,3 - Somewhat important,3 - Somewhat important,I am neutral,I enjoy it that way,I enjoy it that way,I am neutral,I enjoy it that way,"I dislike it, but I can live with it that way","I dislike it, and I can’t accept it",I enjoy it that way,I enjoy it that way,"I dislike it, but I can live with it that way"
C2-56,25000_to_34999,female,23,homemaker,high_school_or_equivalent,7 - Very important,6,7 - Very important,9 - Extremely important,9 - Extremely important,It is a basic necessity or I expect it that way,I am neutral,"I dislike it, but I can live with it that way","I dislike it, but I can live with it that way",It is a basic necessity or I expect it that way,"I dislike it, and I can’t accept it","I dislike it, and I can’t accept it",It is a basic necessity or I expect it that way,I enjoy it that way,"I dislike it, but I can live with it that way"
C2-57,prefer_not_to_answer,female,32,temporarily-unemployed,high_school_or_equivalent,3 - Somewhat important,8,9 - Extremely important,9 - Extremely important,9 - Extremely important,I am neutral,I am neutral,It is a basic necessity or I expect it that way,"I dislike it, but I can live with it that way",It is a basic necessity or I expect it that way,"I dislike it, and I can’t accept it","I dislike it, and I can’t accept it",It is a basic necessity or I expect it that way,It is a basic necessity or I expect it that way,"I dislike it, and I can’t accept it"
C2-58,prefer_not_to_answer,female,20,student_full_time,high_school_or_equivalent,5 - Important,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,I am neutral,"I dislike it, but I can live with it that way",It is a basic necessity or I expect it that way,"I dislike it, and I can’t accept it",It is a basic necessity or I expect it that way,"I dislike it, and I can’t accept it","I dislike it, and I can’t accept it",It is a basic necessity or I expect it that way,It is a basic necessity or I expect it that way,"I dislike it, and I can’t accept it"
C2-59,50000_to_74999,male,43,employed_part_time,university_undergraduate_degree,7 - Very important,7 - Very important,7 - Very important,7 - Very important,7 - Very important,I am neutral,I enjoy it that way,It is a basic necessity or I expect it that way,It is a basic necessity or I expect it that way,I enjoy it that way,"I dislike it, and I can’t accept it",I enjoy it that way,I enjoy it that way,I enjoy it that way,I enjoy it that way
C2-60,75000_to_99999,male,21,employed_full_time,high_school_or_equivalent,5 - Important,9 - Extremely important,9 - Extremely important,8,9 - Extremely important,I am neutral,It is a basic necessity or I expect it that way,I enjoy it that way,"I dislike it, and I can’t accept it",I enjoy it that way,"I dislike it, and I can’t accept it","I dislike it, and I can’t accept it",I enjoy it that way,It is a basic necessity or I expect it that way,"I dislike it, but I can live with it that way"
C2-61,100000_to_149999,female,29,employed_full_time,university_undergraduate_degree,4,7 - Very important,7 - Very important,7 - Very important,6,I am neutral,I am neutral,It is a basic necessity or I expect it that way,"I dislike it, and I can’t accept it",I enjoy it that way,"I dislike it, and I can’t accept it","I dislike it, and I can’t accept it",It is a basic necessity or I expect it that way,I enjoy it that way,"I dislike it, and I can’t accept it"
C2-62,35000_to_49999,female,40,homemaker,high_school_or_equivalent,5 - Important,5 - Important,5 - Important,5 - Important,5 - Important,I enjoy it that way,"I dislike it, but I can live with it that way",I enjoy it that way,"I dislike it, but I can live with it that way",I enjoy it that way,"I dislike it, and I can’t accept it","I dislike it, and I can’t accept it",I enjoy it that way,I enjoy it that way,"I dislike it, but I can live with it that way"
C2-63,prefer_not_to_answer,female,30,temporarily-unemployed,trade_or_vocational,4,8,9 - Extremely important,9 - Extremely important,9 - Extremely important,I am neutral,I am neutral,I enjoy it that way,"I dislike it, and I can’t accept it",I enjoy it that way,"I dislike it, and I can’t accept it","I dislike it, and I can’t accept it",I enjoy it that way,It is a basic necessity or I expect it that way,"I dislike it, but I can live with it that way"
C2-64,35000_to_49999,male,42,employed_full_time,trade_or_vocational,3 - Somewhat important,7 - Very important,8,9 - Extremely important,9 - Extremely important,I am neutral,I am neutral,It is a basic necessity or I expect it that way,"I dislike it, but I can live with it that way",It is a basic necessity or I expect it that way,"I dislike it, but I can live with it that way","I dislike it, and I can’t accept it",It is a basic necessity or I expect it that way,I enjoy it that way,"I dislike it, but I can live with it that way"
C2-65,prefer_not_to_answer,male,24,student_full_time,college_diploma,9 - Extremely important,1 - Not at all important,4,5 - Important,5 - Important,I am neutral,It is a basic necessity or I expect it that way,I enjoy it that way,It is a basic necessity or I expect it that way,I enjoy it that way,It is a basic necessity or I expect it that way,It is a basic necessity or I expect it that way,I enjoy it that way,It is a basic necessity or I expect it that way,I enjoy it that way
C2-66,100000_to_149999,female,44,employed_full_time,university_undergraduate_degree,2,7 - Very important,7 - Very important,7 - Very important,7 - Very important,I enjoy it that way,I am neutral,I enjoy it that way,"I dislike it, but I can live with it that way",I enjoy it that way,"I dislike it, and I can’t accept it","I dislike it, and I can’t accept it",I enjoy it that way,I enjoy it that way,"I dislike it, but I can live with it that way"
C2-67,15000_to_24999,female,23,employed_full_time,high_school_or_equivalent,7 - Very important,7 - Very important,9 - Extremely important,5 - Important,6,I enjoy it that way,It is a basic necessity or I expect it that way,I enjoy it that way,It is a basic necessity or I expect it that way,It is a basic necessity or I expect it that way,I enjoy it that way,It is a basic necessity or I expect it that way,I enjoy it that way,It is a basic necessity or I expect it that way,I enjoy it that way
C2-68,less_than_15,female,27,temporarily-unemployed,university_undergraduate_degree,9 - Extremely important,9 - Extremely important,7 - Very important,9 - Extremely important,9 - Extremely important,I enjoy it that way,I enjoy it that way,I enjoy it that way,It is a basic necessity or I expect it that way,I enjoy it that way,"I dislike it, but I can live with it that way","I dislike it, and I can’t accept it",I enjoy it that way,I enjoy it that way,It is a basic necessity or I expect it that way
C2-69,50000_to_74999,female,26,temporarily-unemployed,doctorate,7 - Very important,8,7 - Very important,7 - Very important,6,I enjoy it that way,It is a basic necessity or I expect it that way,I enjoy it that way,It is a basic necessity or I expect it that way,It is a basic necessity or I expect it that way,I am neutral,"I dislike it, and I can’t accept it",I enjoy it that way,I enjoy it that way,"I dislike it, but I can live with it that way"
C2-70,50000_to_74999,female,22,temporarily-unemployed,trade_or_vocational,5 - Important,7 - Very important,9 - Extremely important,7 - Very important,7 - Very important,It is a basic necessity or I expect it that way,"I dislike it, but I can live with it that way",I enjoy it that way,"I dislike it, and I can’t accept it",I enjoy it that way,"I dislike it, and I can’t accept it","I dislike it, and I can’t accept it",I enjoy it that way,It is a basic necessity or I expect it that way,It is a basic necessity or I expect it that way
C2-71,15000_to_24999,female,40,self_employed,trade_or_vocational,2,6,1 - Not at all important,7 - Very important,5 - Important,I am neutral,I am neutral,I enjoy it that way,"I dislike it, but I can live with it that way",I enjoy it that way,"I dislike it, and I can’t accept it","I dislike it, and I can’t accept it",I enjoy it that way,I am neutral,I am neutral
C2-72,100000_to_149999,male,31,employed_full_time,masters_graduate_degree,5 - Important,5 - Important,2,5 - Important,4,"I dislike it, but I can live with it that way",It is a basic necessity or I expect it that way,I am neutral,It is a basic necessity or I expect it that way,I am neutral,It is a basic necessity or I expect it that way,I am neutral,It is a basic necessity or I expect it that way,It is a basic necessity or I expect it that way,"I dislike it, but I can live with it that way"
C2-73,prefer_not_to_answer,male,21,other,other,9 - Extremely important,9 - Extremely important,9 - Extremely important,8,9 - Extremely important,I enjoy it that way,I enjoy it that way,I enjoy it that way,I enjoy it that way,I enjoy it that way,I enjoy it that way,I enjoy it that way,I enjoy it that way,I enjoy it that way,I enjoy it that way
