ID,Income_us,Gender,Age,Employment,Education,F1_importance,F2_importance,F3_importance,F4_importance,F5_importance,F1_functional,F1_dysfunctional,F2_functional,F2_dysfunctional,F3_functional,F3_dysfunctional,F4_dysfunctional,F4_functional,F5_functional,F5_dysfunctional
C1-11,35000_to_49999,male,19,student_full_time,high_school_or_equivalent,9 - Extremely important,9 - Extremely important,8,9 - Extremely important,9 - Extremely important,I like it that way,I must be that way,I must be that way,I like it that way,I like it that way,I dislike it that way,I dislike it that way,I like it that way,I like it that way,I dislike it that way
C1-12,prefer_not_to_answer,female,27,temporarily-unemployed,high_school_or_equivalent,5 - Important,5 - Important,5 - Important,4,3 - Somewhat important,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral
C1-13,less_than_15,female,31,retired,high_school_or_equivalent,7 - Very important,7 - Very important,9 - Extremely important,9 - Extremely important,7 - Very important,I am neutral,I like it that way,I like it that way,I dislike it that way,I like it that way,I dislike it that way,I dislike it that way,I like it that way,I like it that way,I can live with it that way
C1-14,less_than_15,male,21,student_full_time,high_school_or_equivalent,7 - Very important,9 - Extremely important,9 - Extremely important,9 - Extremely important,7 - Very important,I must be that way,I must be that way,I like it that way,I dislike it that way,I like it that way,I dislike it that way,I dislike it that way,I like it that way,I dislike it that way,I like it that way
C1-15,prefer_not_to_answer,male,27,student_full_time,doctorate,5 - Important,5 - Important,5 - Important,5 - Important,5 - Important,I can live with it that way,I am neutral,I am neutral,I dislike it that way,I like it that way,I dislike it that way,I dislike it that way,I like it that way,I dislike it that way,I like it that way
C1-16,50000_to_74999,female,29,homemaker,high_school_or_equivalent,5 - Important,9 - Extremely important,7 - Very important,9 - Extremely important,9 - Extremely important,I can live with it that way,I dislike it that way,I must be that way,I dislike it that way,I like it that way,I dislike it that way,I dislike it that way,I must be that way,I dislike it that way,I dislike it that way
C1-17,less_than_15,female,42,homemaker,high_school_or_equivalent,7 - Very important,9 - Extremely important,8,9 - Extremely important,8,I like it that way,I must be that way,I must be that way,I dislike it that way,I like it that way,I dislike it that way,I dislike it that way,I like it that way,I must be that way,I can live with it that way
C1-18,75000_to_99999,female,38,employed_full_time,college_diploma,7 - Very important,8,8,8,6,I am neutral,I can live with it that way,I can live with it that way,I dislike it that way,I like it that way,I dislike it that way,I dislike it that way,I like it that way,I am neutral,I dislike it that way
C1-19,less_than_15,male,20,other,high_school_or_equivalent,4,5 - Important,6,7 - Very important,3 - Somewhat important,I can live with it that way,I can live with it that way,I am neutral,I like it that way,I like it that way,I am neutral,I dislike it that way,I am neutral,I dislike it that way,I like it that way
C1-20,prefer_not_to_answer,female,20,self_employed,trade_or_vocational,3 - Somewhat important,5 - Important,5 - Important,7 - Very important,7 - Very important,I am neutral,I am neutral,I like it that way,I can live with it that way,I like it that way,I can live with it that way,I am neutral,I am neutral,I am neutral,I can live with it that way
C1-21,100000_to_149999,female,20,student_full_time,high_school_or_equivalent,3 - Somewhat important,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,I am neutral,I am neutral,I must be that way,I dislike it that way,I must be that way,I dislike it that way,I dislike it that way,I must be that way,I like it that way,I can live with it that way
C1-22,less_than_15,female,19,student_part_time,high_school_or_equivalent,5 - Important,5 - Important,7 - Very important,7 - Very important,7 - Very important,I am neutral,I am neutral,I must be that way,I must be that way,I am neutral,I must be that way,I am neutral,I must be that way,I am neutral,I like it that way
C1-23,prefer_not_to_answer,female,37,temporarily-unemployed,high_school_or_equivalent,5 - Important,5 - Important,5 - Important,9 - Extremely important,5 - Important,I must be that way,I dislike it that way,I must be that way,I am neutral,I like it that way,I dislike it that way,I dislike it that way,I like it that way,I am neutral,I can live with it that way
C1-24,prefer_not_to_answer,male,32,employed_full_time,college_diploma,5 - Important,7 - Very important,5 - Important,9 - Extremely important,9 - Extremely important,I am neutral,I am neutral,I am neutral,I dislike it that way,I like it that way,I dislike it that way,I dislike it that way,I can live with it that way,I like it that way,I dislike it that way
C1-25,less_than_15,female,20,student_full_time,high_school_or_equivalent,9 - Extremely important,8,7 - Very important,9 - Extremely important,9 - Extremely important,I can live with it that way,I can live with it that way,I am neutral,I can live with it that way,I like it that way,I am neutral,I can live with it that way,I like it that way,I dislike it that way,I can live with it that way
C1-26,prefer_not_to_answer,male,21,self_employed,other,7 - Very important,7 - Very important,7 - Very important,7 - Very important,7 - Very important,I can live with it that way,I am neutral,I like it that way,I can live with it that way,I like it that way,I dislike it that way,I dislike it that way,I like it that way,I like it that way,I like it that way
C1-27,prefer_not_to_answer,female,25,student_full_time,other,9 - Extremely important,7 - Very important,9 - Extremely important,8,7 - Very important,I can live with it that way,I dislike it that way,I must be that way,I dislike it that way,I like it that way,I dislike it that way,I dislike it that way,I like it that way,I like it that way,I dislike it that way
C1-28,100000_to_149999,male,42,employed_part_time,college_diploma,6,8,8,6,6,I must be that way,I like it that way,I like it that way,I can live with it that way,I must be that way,I can live with it that way,I must be that way,I like it that way,I like it that way,I can live with it that way
C1-29,prefer_not_to_answer,female,23,employed_part_time,university_undergraduate_degree,3 - Somewhat important,9 - Extremely important,9 - Extremely important,9 - Extremely important,8,I am neutral,I am neutral,I like it that way,I dislike it that way,I like it that way,I dislike it that way,I dislike it that way,I like it that way,I like it that way,I dislike it that way
C1-30,150000_to_249999,male,53,employed_full_time,university_undergraduate_degree,9 - Extremely important,7 - Very important,9 - Extremely important,9 - Extremely important,5 - Important,I like it that way,I am neutral,I like it that way,I dislike it that way,I like it that way,I dislike it that way,I dislike it that way,I must be that way,I like it that way,I dislike it that way
C1-31,prefer_not_to_answer,male,19,employed_part_time,some_high_school_or_less,2,2,9 - Extremely important,9 - Extremely important,7 - Very important,I can live with it that way,I can live with it that way,I can live with it that way,I am neutral,I am neutral,I can live with it that way,I am neutral,I dislike it that way,I am neutral,I can live with it that way
C1-32,25000_to_34999,female,24,student_part_time,college_diploma,3 - Somewhat important,5 - Important,5 - Important,5 - Important,3 - Somewhat important,I am neutral,I am neutral,I must be that way,I am neutral,I must be that way,I must be that way,I must be that way,I must be that way,I must be that way,I must be that way
C1-33,25000_to_34999,female,41,employed_full_time,high_school_or_equivalent,7 - Very important,5 - Important,7 - Very important,9 - Extremely important,5 - Important,I dislike it that way,I like it that way,I like it that way,I dislike it that way,I like it that way,I dislike it that way,I dislike it that way,I like it that way,I can live with it that way,I am neutral
C1-34,35000_to_49999,male,29,employed_full_time,college_diploma,4,7 - Very important,6,9 - Extremely important,7 - Very important,I am neutral,I can live with it that way,I like it that way,I can live with it that way,I like it that way,I dislike it that way,I am neutral,I dislike it that way,I must be that way,I am neutral
C1-35,25000_to_34999,female,42,employed_full_time,some_high_school_or_less,5 - Important,7 - Very important,9 - Extremely important,9 - Extremely important,9 - Extremely important,I like it that way,I am neutral,I like it that way,I dislike it that way,I like it that way,I dislike it that way,I dislike it that way,I like it that way,I like it that way,I dislike it that way
C1-36,less_than_15,male,19,student_full_time,high_school_or_equivalent,3 - Somewhat important,5 - Important,5 - Important,5 - Important,5 - Important,I dislike it that way,I can live with it that way,I can live with it that way,I am neutral,I can live with it that way,I dislike it that way,I dislike it that way,I like it that way,I like it that way,I like it that way
C1-37,35000_to_49999,male,38,employed_full_time,high_school_or_equivalent,7 - Very important,7 - Very important,9 - Extremely important,9 - Extremely important,9 - Extremely important,I like it that way,I can live with it that way,I like it that way,I dislike it that way,I like it that way,I dislike it that way,I dislike it that way,I like it that way,I like it that way,I dislike it that way
C1-38,35000_to_49999,female,21,employed_full_time,university_undergraduate_degree,9 - Extremely important,7 - Very important,7 - Very important,9 - Extremely important,5 - Important,I dislike it that way,I can live with it that way,I like it that way,I dislike it that way,I must be that way,I dislike it that way,I dislike it that way,I must be that way,I am neutral,I can live with it that way
C1-39,prefer_not_to_answer,male,19,student_full_time,high_school_or_equivalent,7 - Very important,9 - Extremely important,9 - Extremely important,8,6,I like it that way,I like it that way,I must be that way,I can live with it that way,I am neutral,I like it that way,I must be that way,I can live with it that way,I am neutral,I like it that way
C1-40,150000_to_249999,male,44,employed_full_time,doctorate,4,6,7 - Very important,5 - Important,7 - Very important,I like it that way,I am neutral,I like it that way,I dislike it that way,I like it that way,I dislike it that way,I dislike it that way,I like it that way,I like it that way,I dislike it that way
C1-41,less_than_15,male,31,employed_part_time,high_school_or_equivalent,3 - Somewhat important,5 - Important,7 - Very important,9 - Extremely important,9 - Extremely important,I like it that way,I dislike it that way,I like it that way,I dislike it that way,I must be that way,I dislike it that way,I dislike it that way,I like it that way,I must be that way,I dislike it that way
C1-42,100000_to_149999,female,31,employed_part_time,university_undergraduate_degree,5 - Important,6,6,6,6,I must be that way,I am neutral,I like it that way,I dislike it that way,I like it that way,I dislike it that way,I dislike it that way,I like it that way,I like it that way,I dislike it that way
C1-43,less_than_15,female,46,self_employed,college_diploma,7 - Very important,7 - Very important,6,7 - Very important,6,I can live with it that way,I must be that way,I like it that way,I dislike it that way,I like it that way,I dislike it that way,I dislike it that way,I like it that way,I like it that way,I dislike it that way
C1-44,35000_to_49999,female,44,self_employed,high_school_or_equivalent,5 - Important,6,7 - Very important,6,5 - Important,I like it that way,I can live with it that way,I like it that way,I dislike it that way,I like it that way,I dislike it that way,I dislike it that way,I must be that way,I like it that way,I dislike it that way
C1-45,50000_to_74999,female,20,employed_full_time,high_school_or_equivalent,1 - Not at all important,4,7 - Very important,3 - Somewhat important,2,I am neutral,I am neutral,I am neutral,I can live with it that way,I like it that way,I dislike it that way,I dislike it that way,I must be that way,I am neutral,I am neutral
C1-46,50000_to_74999,female,32,employed_full_time,doctorate,5 - Important,5 - Important,5 - Important,5 - Important,5 - Important,I must be that way,I must be that way,I must be that way,I like it that way,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral
C1-47,50000_to_74999,female,25,student_full_time,college_diploma,9 - Extremely important,7 - Very important,7 - Very important,9 - Extremely important,6,I can live with it that way,I can live with it that way,I can live with it that way,I dislike it that way,I can live with it that way,I must be that way,I can live with it that way,I like it that way,I am neutral,I am neutral
C1-48,35000_to_49999,male,30,employed_full_time,high_school_or_equivalent,3 - Somewhat important,7 - Very important,7 - Very important,9 - Extremely important,9 - Extremely important,I dislike it that way,I like it that way,I like it that way,I dislike it that way,I like it that way,I dislike it that way,I am neutral,I am neutral,I must be that way,I dislike it that way
C1-49,35000_to_49999,female,18,student_full_time,high_school_or_equivalent,1 - Not at all important,2,3 - Somewhat important,5 - Important,6,I am neutral,I am neutral,I am neutral,I like it that way,I must be that way,I can live with it that way,I dislike it that way,I am neutral,I must be that way,I can live with it that way
C1-50,less_than_15,female,21,temporarily-unemployed,some_high_school_or_less,3 - Somewhat important,5 - Important,6,9 - Extremely important,7 - Very important,I dislike it that way,I am neutral,I can live with it that way,I dislike it that way,I like it that way,I dislike it that way,I dislike it that way,I like it that way,I like it that way,I dislike it that way
C1-51,35000_to_49999,female,24,student_part_time,college_diploma,8,9 - Extremely important,7 - Very important,9 - Extremely important,8,I am neutral,I dislike it that way,I can live with it that way,I am neutral,I like it that way,I dislike it that way,I dislike it that way,I like it that way,I like it that way,I am neutral
C1-52,75000_to_99999,female,22,employed_full_time,university_undergraduate_degree,6,4,4,4,4,I am neutral,I am neutral,I can live with it that way,I must be that way,I am neutral,I must be that way,I must be that way,I must be that way,I must be that way,I am neutral
C1-53,75000_to_99999,male,21,student_part_time,high_school_or_equivalent,7 - Very important,7 - Very important,7 - Very important,9 - Extremely important,7 - Very important,I am neutral,I am neutral,I can live with it that way,I can live with it that way,I like it that way,I dislike it that way,I dislike it that way,I like it that way,I like it that way,I am neutral
C1-54,prefer_not_to_answer,male,17,student_full_time,high_school_or_equivalent,2,6,7 - Very important,6,4,I am neutral,I can live with it that way,I must be that way,I am neutral,I like it that way,I must be that way,I must be that way,I can live with it that way,I am neutral,I am neutral
C1-55,25000_to_34999,female,26,self_employed,high_school_or_equivalent,3 - Somewhat important,9 - Extremely important,9 - Extremely important,9 - Extremely important,5 - Important,I am neutral,I can live with it that way,I like it that way,I dislike it that way,I like it that way,I dislike it that way,I dislike it that way,I like it that way,I like it that way,I dislike it that way
C1-56,50000_to_74999,male,38,self_employed,university_undergraduate_degree,7 - Very important,9 - Extremely important,7 - Very important,8,7 - Very important,I like it that way,I dislike it that way,I like it that way,I dislike it that way,I like it that way,I can live with it that way,I dislike it that way,I must be that way,I must be that way,I dislike it that way
C1-57,50000_to_74999,female,47,self_employed,university_undergraduate_degree,9 - Extremely important,7 - Very important,9 - Extremely important,9 - Extremely important,9 - Extremely important,I am neutral,I am neutral,I must be that way,I dislike it that way,I like it that way,I dislike it that way,I dislike it that way,I like it that way,I like it that way,I dislike it that way
C1-58,prefer_not_to_answer,male,19,student_part_time,high_school_or_equivalent,9 - Extremely important,5 - Important,7 - Very important,9 - Extremely important,9 - Extremely important,I like it that way,I dislike it that way,I like it that way,I can live with it that way,I like it that way,I dislike it that way,I dislike it that way,I must be that way,I like it that way,I can live with it that way
C1-59,50000_to_74999,male,23,employed_full_time,university_undergraduate_degree,5 - Important,7 - Very important,8,9 - Extremely important,7 - Very important,I like it that way,I can live with it that way,I like it that way,I dislike it that way,I like it that way,I dislike it that way,I dislike it that way,I like it that way,I like it that way,I am neutral
C1-60,100000_to_149999,female,51,employed_full_time,university_undergraduate_degree,7 - Very important,7 - Very important,8,9 - Extremely important,8,I dislike it that way,I like it that way,I must be that way,I dislike it that way,I like it that way,I dislike it that way,I dislike it that way,I like it that way,I like it that way,I dislike it that way
C1-61,150000_to_249999,male,23,employed_full_time,university_undergraduate_degree,3 - Somewhat important,6,9 - Extremely important,8,9 - Extremely important,I am neutral,I can live with it that way,I must be that way,I dislike it that way,I must be that way,I dislike it that way,I dislike it that way,I must be that way,I like it that way,I dislike it that way
C1-62,150000_to_249999,female,19,homemaker,high_school_or_equivalent,5 - Important,3 - Somewhat important,6,9 - Extremely important,8,I can live with it that way,I can live with it that way,I must be that way,I am neutral,I like it that way,I am neutral,I dislike it that way,I like it that way,I must be that way,I can live with it that way
C1-63,50000_to_74999,male,30,student_full_time,university_undergraduate_degree,5 - Important,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,I can live with it that way,I can live with it that way,I must be that way,I dislike it that way,I must be that way,I dislike it that way,I dislike it that way,I must be that way,I like it that way,I dislike it that way
C1-64,25000_to_34999,female,28,employed_full_time,masters_graduate_degree,7 - Very important,7 - Very important,9 - Extremely important,9 - Extremely important,9 - Extremely important,I dislike it that way,I like it that way,I like it that way,I dislike it that way,I like it that way,I dislike it that way,I dislike it that way,I like it that way,I like it that way,I dislike it that way
C1-65,35000_to_49999,female,22,employed_part_time,college_diploma,3 - Somewhat important,9 - Extremely important,8,9 - Extremely important,6,I can live with it that way,I am neutral,I like it that way,I am neutral,I like it that way,I dislike it that way,I dislike it that way,I like it that way,I like it that way,I dislike it that way
C1-66,prefer_not_to_answer,male,22,student_full_time,some_high_school_or_less,6,9 - Extremely important,9 - Extremely important,9 - Extremely important,7 - Very important,I am neutral,I am neutral,I can live with it that way,I am neutral,I am neutral,I dislike it that way,I dislike it that way,I must be that way,I dislike it that way,I like it that way
C1-67,prefer_not_to_answer,male,26,other,high_school_or_equivalent,4,2,4,4,4,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I must be that way,I am neutral,I am neutral,I am neutral
C1-68,15000_to_24999,female,25,employed_full_time,high_school_or_equivalent,4,7 - Very important,6,7 - Very important,1 - Not at all important,I like it that way,I like it that way,I like it that way,I can live with it that way,I can live with it that way,I am neutral,I dislike it that way,I must be that way,I am neutral,I can live with it that way
C1-69,prefer_not_to_answer,female,19,student_full_time,high_school_or_equivalent,3 - Somewhat important,5 - Important,7 - Very important,8,5 - Important,I am neutral,I can live with it that way,I am neutral,I must be that way,I must be that way,I must be that way,I am neutral,I must be that way,I must be that way,I must be that way
C1-70,50000_to_74999,female,30,self_employed,masters_graduate_degree,7 - Very important,7 - Very important,7 - Very important,8,7 - Very important,I am neutral,I can live with it that way,I like it that way,I dislike it that way,I like it that way,I dislike it that way,I dislike it that way,I like it that way,I like it that way,I am neutral
C1-71,250000_or_more,male,46,employed_full_time,university_undergraduate_degree,7 - Very important,7 - Very important,9 - Extremely important,9 - Extremely important,8,I am neutral,I can live with it that way,I like it that way,I dislike it that way,I like it that way,I dislike it that way,I dislike it that way,I like it that way,I like it that way,I dislike it that way
C1-72,prefer_not_to_answer,male,35,employed_full_time,high_school_or_equivalent,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,I dislike it that way,I like it that way,I like it that way,I dislike it that way,I like it that way,I dislike it that way,I dislike it that way,I like it that way,I like it that way,I dislike it that way
C1-73,15000_to_24999,female,21,student_full_time,high_school_or_equivalent,3 - Somewhat important,5 - Important,5 - Important,7 - Very important,6,I must be that way,I can live with it that way,I must be that way,I am neutral,I am neutral,I can live with it that way,I dislike it that way,I am neutral,I am neutral,I must be that way
C1-74,15000_to_24999,female,21,student_full_time,high_school_or_equivalent,3 - Somewhat important,5 - Important,5 - Important,7 - Very important,6,I must be that way,I can live with it that way,I must be that way,I am neutral,I am neutral,I can live with it that way,I dislike it that way,I am neutral,I am neutral,I must be that way
C1-75,35000_to_49999,female,42,homemaker,college_diploma,4,9 - Extremely important,9 - Extremely important,9 - Extremely important,8,I like it that way,I can live with it that way,I like it that way,I dislike it that way,I like it that way,I dislike it that way,I dislike it that way,I must be that way,I must be that way,I dislike it that way
C1-76,75000_to_99999,male,21,employed_full_time,university_undergraduate_degree,7 - Very important,7 - Very important,8,7 - Very important,6,I am neutral,I like it that way,I must be that way,I can live with it that way,I like it that way,I dislike it that way,I can live with it that way,I like it that way,I like it that way,I can live with it that way
C1-77,25000_to_34999,female,34,temporarily-unemployed,college_diploma,4,4,5 - Important,5 - Important,5 - Important,I am neutral,I can live with it that way,I must be that way,I dislike it that way,I must be that way,I dislike it that way,I dislike it that way,I like it that way,I am neutral,I must be that way
C1-78,less_than_15,male,20,self_employed,high_school_or_equivalent,3 - Somewhat important,3 - Somewhat important,3 - Somewhat important,5 - Important,5 - Important,I like it that way,I dislike it that way,I like it that way,I dislike it that way,I like it that way,I can live with it that way,I dislike it that way,I am neutral,I dislike it that way,I dislike it that way
C1-79,15000_to_24999,female,24,self_employed,masters_graduate_degree,4,9 - Extremely important,9 - Extremely important,9 - Extremely important,8,I like it that way,I like it that way,I must be that way,I dislike it that way,I must be that way,I dislike it that way,I dislike it that way,I like it that way,I like it that way,I can live with it that way
C1-80,25000_to_34999,male,46,employed_full_time,high_school_or_equivalent,5 - Important,7 - Very important,8,9 - Extremely important,7 - Very important,I must be that way,I am neutral,I like it that way,I dislike it that way,I like it that way,I dislike it that way,I dislike it that way,I like it that way,I like it that way,I dislike it that way
C1-81,150000_to_249999,male,51,employed_full_time,university_undergraduate_degree,9 - Extremely important,6,9 - Extremely important,9 - Extremely important,7 - Very important,I like it that way,I dislike it that way,I like it that way,I can live with it that way,I must be that way,I dislike it that way,I dislike it that way,I must be that way,I like it that way,I can live with it that way
C1-82,75000_to_99999,male,36,student_full_time,college_diploma,3 - Somewhat important,5 - Important,5 - Important,5 - Important,6,I am neutral,I am neutral,I can live with it that way,I must be that way,I can live with it that way,I dislike it that way,I dislike it that way,I am neutral,I can live with it that way,I dislike it that way
C1-83,25000_to_34999,male,26,employed_part_time,university_undergraduate_degree,7 - Very important,8,9 - Extremely important,8,9 - Extremely important,I dislike it that way,I like it that way,I am neutral,I can live with it that way,I like it that way,I dislike it that way,I dislike it that way,I must be that way,I like it that way,I can live with it that way
C1-84,15000_to_24999,female,35,homemaker,trade_or_vocational,8,9 - Extremely important,9 - Extremely important,9 - Extremely important,8,I can live with it that way,I am neutral,I am neutral,I dislike it that way,I like it that way,I dislike it that way,I dislike it that way,I like it that way,I like it that way,I can live with it that way
C1-85,25000_to_34999,female,27,employed_part_time,high_school_or_equivalent,3 - Somewhat important,3 - Somewhat important,4,7 - Very important,7 - Very important,I am neutral,I can live with it that way,I like it that way,I dislike it that way,I like it that way,I dislike it that way,I dislike it that way,I like it that way,I like it that way,I dislike it that way
C1-86,75000_to_99999,female,23,employed_full_time,university_undergraduate_degree,3 - Somewhat important,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,I can live with it that way,I like it that way,I like it that way,I dislike it that way,I like it that way,I dislike it that way,I dislike it that way,I like it that way,I like it that way,I can live with it that way
C1-87,35000_to_49999,female,27,homemaker,high_school_or_equivalent,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,I like it that way,I can live with it that way,I like it that way,I dislike it that way,I like it that way,I dislike it that way,I dislike it that way,I like it that way,I like it that way,I dislike it that way
C1-88,15000_to_24999,male,29,employed_full_time,high_school_or_equivalent,5 - Important,4,7 - Very important,7 - Very important,7 - Very important,I can live with it that way,I dislike it that way,I can live with it that way,I dislike it that way,I like it that way,I dislike it that way,I dislike it that way,I like it that way,I like it that way,I dislike it that way
C1-89,35000_to_49999,female,21,student_part_time,high_school_or_equivalent,5 - Important,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,I like it that way,I can live with it that way,I like it that way,I dislike it that way,I must be that way,I dislike it that way,I dislike it that way,I like it that way,I like it that way,I dislike it that way
C1-90,less_than_15,female,20,temporarily-unemployed,some_high_school_or_less,6,5 - Important,6,9 - Extremely important,3 - Somewhat important,I like it that way,I am neutral,I like it that way,I dislike it that way,I like it that way,I dislike it that way,I am neutral,I like it that way,I can live with it that way,I must be that way
C1-91,50000_to_74999,male,22,student_full_time,university_undergraduate_degree,5 - Important,5 - Important,5 - Important,7 - Very important,8,I like it that way,I can live with it that way,I like it that way,I dislike it that way,I like it that way,I dislike it that way,I dislike it that way,I like it that way,I like it that way,I can live with it that way
